sampling_profile,features,building_budget,model,n_building_seeds,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,roc_auc_mean,roc_auc_std
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,50,catboost,5,0.5228598655051284,0.028143818061880273,0.48574204554285566,0.5646809331106354,0.9387854411880946,0.013344284773571557
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,50,ensemble,5,0.5252464764038508,0.024023485707048316,0.49940879864652094,0.5715240578077441,0.9433627077797914,0.008626241881315
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,50,hist_gradient_boosting,5,0.5111046684611454,0.022363968254212968,0.484248506949026,0.5429004202568459,0.9370005072969537,0.010042814036995733
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,50,lightgbm,5,0.515090458113174,0.032018196085496,0.48467438069952556,0.5728799755865317,0.9380398422093894,0.008705520678166621
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,50,tabpfn,5,0.5364234032595758,0.05402468014784568,0.4649398295526223,0.6143821697172942,0.9244289029353174,0.019328603159229622
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,50,xgboost,5,0.5208549428708462,0.030004281487306828,0.47782858178637505,0.5741597864204864,0.9393081619444104,0.009150682082872872
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,100,catboost,5,0.5637375736555554,0.037193036196550185,0.5196937840163056,0.6142204194419022,0.9494802727886705,0.008296847159006863
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,100,ensemble,5,0.5620559007183078,0.035734211290746325,0.5223328000558786,0.6174902211299856,0.9555918552138062,0.0024423879704606605
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,100,hist_gradient_boosting,5,0.5490481834179862,0.04628646719629407,0.48975722367321334,0.6057674443128829,0.9524008520552506,0.0033697247913576146
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,100,lightgbm,5,0.5565773749969903,0.03446313239455909,0.5167653329488351,0.6058669375589417,0.9532440957452254,0.0027491527269884217
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,100,tabpfn,5,0.5886874372644436,0.04101533337450342,0.5330632108656665,0.6518707558922904,0.9500564326629917,0.008678698592386581
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,100,xgboost,5,0.567360218837244,0.04266428163124955,0.5174421923260661,0.6315849219592572,0.950520821729462,0.003317235268592967
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,200,catboost,5,0.6115076570000554,0.04070599223002344,0.5576835541775185,0.6794240923004995,0.9588016889744843,0.006696676441844879
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,200,ensemble,5,0.6200521332609815,0.04489117270130416,0.558796140218039,0.7017202581557652,0.9617613347795135,0.004208317978908249
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,200,hist_gradient_boosting,5,0.6012058349241646,0.05046460326710073,0.5397423107731175,0.681412446510929,0.9587498366324588,0.004625616768757746
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,200,lightgbm,5,0.6000499226016751,0.03157048946888186,0.5577424142750491,0.6565600672697512,0.9585282026263233,0.004669870288057441
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,200,tabpfn,5,0.6644001708440397,0.029641321097429982,0.6284492379124358,0.7208708195266417,0.9619870389769668,0.007013278376720354
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,200,xgboost,5,0.614085744246591,0.042579455762699475,0.5657690459046962,0.6912360166885253,0.9564536648779448,0.00544319536211086
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,400,catboost,5,0.69304879846776,0.028593120171425207,0.6528399944781996,0.744687099266993,0.9613011323219028,0.002474102055890942
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,400,ensemble,5,0.726876590641398,0.023883048572873048,0.6887501638117288,0.7580007522456624,0.968161310033504,0.002763419326601715
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,400,hist_gradient_boosting,5,0.70968455247065,0.020736456895227136,0.6748874748986086,0.741612125252872,0.966542054440335,0.0030234514975415326
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,400,lightgbm,5,0.7082384478523994,0.026521798505842707,0.6636617049635682,0.7446433590379576,0.9674553228557192,0.0026106809448145562
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,400,tabpfn,5,0.7249365849145346,0.028271864924760224,0.6773515556802692,0.7568963523521991,0.9664952916504659,0.0026496795785913747
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,400,xgboost,5,0.716966183947671,0.02053701759345544,0.6806700403266888,0.7512293644081476,0.9654067265606312,0.0032894585617158395
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,725,catboost,1,0.7394208708598747,0.016601222522258027,0.7276820338383992,0.7511597078813502,0.9653805601051032,0.002861660821109667
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,725,ensemble,1,0.7643601224873803,0.0068028888141928754,0.7595497536752064,0.7691704912995542,0.9714787461913859,0.0004023562582130441
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,725,hist_gradient_boosting,1,0.7657393498192613,0.009019514954453339,0.7593615896319538,0.7721171100065687,0.9723142840500965,0.0014561007551180645
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,725,lightgbm,1,0.7472037759090493,0.008994150878225575,0.740843950832041,0.7535636009860575,0.9682599609903366,0.0014479611646043577
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,725,tabpfn,1,0.7987126951365529,0.0028621895318153403,0.796688821509565,0.8007365687635406,0.9776913836743724,0.0003194398466609029
reused_v4_nested_buildings_new_fixed_50k_global_50_50,137,725,xgboost,1,0.7509152506042407,0.007346539836713409,0.7457204624674435,0.7561100387410378,0.9686229875093153,0.0030348422071085077
