sampling_profile,building_seed,building_budget,features,model,grouping,group,group_label,buildings,rows,anomalies,anomaly_rate,roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,tn_0_5,fp_0_5,fn_0_5,tp_0_5,row_seed,support_id,building_draw_seed
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.959667689526485,0.5117599344161605,0.4806390810056695,0.9178044339268381,0.6308909511970018,1834241,139974,11601,129538,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.9575544706529644,0.47824676206691863,0.4892241134805414,0.9165928623555502,0.6379483790794236,1839149,135066,11772,129367,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9346937598736708,0.6418100913624815,0.46878473393028863,0.7678162330224186,0.5821449895704903,1259185,42536,11351,37537,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,meter,2,steam,162,1350609,48888,0.03619700446243139,0.931571700109038,0.6330852027291182,0.48372575728092365,0.7627229585992472,0.5919998729886563,1261924,39797,11600,37288,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.9168101738742899,0.598131391022745,0.563983953246496,0.6278131236837172,0.5941892864969788,501412,44018,33754,56937,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.9100258402183207,0.5850606631284643,0.5218366599523897,0.6284526579263654,0.5702037406645958,493205,52225,33696,56995,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,overall,0,all,296,4102084,280718,0.06843302087426781,0.9484690873866272,0.5070985708427127,0.497207795090336,0.7979965659487457,0.6126756903856094,3594838,226528,56706,224012,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,overall,0,all,296,4102084,280718,0.06843302087426781,0.9467293729741006,0.4942191794645315,0.4961862545425502,0.7967070155814733,0.6115200367486219,3594278,227088,57068,223650,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,0,site 0,13,93806,4045,0.043120909110291455,0.9977700706073616,0.9799175720080732,0.7170048482671934,0.9871446229913473,0.8306636155606407,88185,1576,52,3993,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,0,site 0,13,93806,4045,0.043120909110291455,0.9983845935936814,0.984758173754855,0.7825403067243414,0.9839307787391842,0.8717555579892673,88655,1106,65,3980,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,1,site 1,7,61469,2933,0.047715108428638825,0.9250712585401796,0.5172149140832707,0.4847436300723498,0.5254006137061029,0.5042539267015707,56898,1638,1392,1541,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,1,site 1,7,61469,2933,0.047715108428638825,0.8866722590825182,0.43245799020638764,0.2101391118245051,0.5356290487555404,0.3018541646651936,52631,5905,1362,1571,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,2,site 2,50,675821,76276,0.11286420516675273,0.9656807266967948,0.7443132722827689,0.6392953718438067,0.7531726886569825,0.6915775344741452,567131,32414,18827,57449,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,2,site 2,50,675821,76276,0.11286420516675273,0.9649690052792981,0.7459143415181271,0.6191318414667026,0.752648277308721,0.6793924296305939,564229,35316,18867,57409,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,6,site 6,15,187447,28605,0.15260313581972504,0.9675029240259926,0.886267861413134,0.6134053593005899,0.9050865233350813,0.7312319945771903,142525,16317,2715,25890,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,6,site 6,15,187447,28605,0.15260313581972504,0.9701120597872989,0.8989794600380115,0.63368038503094,0.9021499737808075,0.74445037430224,143924,14918,2799,25806,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,7,site 7,8,139716,8439,0.06040109937301383,0.9185389540793673,0.420589237746075,0.26365443842345326,0.8013982699371963,0.3967732472865943,112389,18888,1676,6763,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,7,site 7,8,139716,8439,0.06040109937301383,0.9024014893332665,0.31038360080112354,0.2656680034599355,0.8006872852233677,0.3989608242553066,112600,18677,1682,6757,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,9,site 9,50,833293,31468,0.03776342774990309,0.9897810334923359,0.9164900851995506,0.8353408705831613,0.8617007753908733,0.8483161006741854,796480,5345,4352,27116,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,9,site 9,50,833293,31468,0.03776342774990309,0.9899009465389887,0.9227273702561015,0.8522562322499211,0.8582687174272277,0.8552519079134868,797143,4682,4460,27008,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,10,site 10,8,87112,15212,0.17462576912480485,0.8815963062796848,0.48108743511681074,0.3902170409369292,0.9549697607152248,0.5540427154843631,49199,22701,685,14527,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,10,site 10,8,87112,15212,0.17462576912480485,0.892202037809986,0.49258974004731504,0.3895177752445587,0.965882198264528,0.555154629437213,48872,23028,519,14693,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,11,site 11,2,26160,194,0.007415902140672783,0.8645024302200102,0.024514669174395695,0.03418349273822175,0.9948453608247423,0.06609589041095891,20513,5453,1,193,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,11,site 11,2,26160,194,0.007415902140672783,0.8434966701102393,0.021120087249203622,0.034165338998052755,0.9948453608247423,0.06606195447544069,20510,5456,1,193,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,13,site 13,53,702174,37855,0.05391113883453389,0.8533247686237718,0.2117928104898705,0.24132497035511452,0.8171707832518822,0.3726112539824981,567069,97250,6921,30934,0,building_seed0,0.0
