meter_id,meter,model,feature_count,context_rows,regime_id,regime,anomaly_count,detected_count,detection_rate
0,Electricity,tabpfn,137,5000,0,0–1,291780,289869,0.9934505449311125
0,Electricity,tabpfn,137,5000,1,1–10,6638,5459,0.8223862609219644
0,Electricity,tabpfn,137,5000,2,10–100,30988,26503,0.8552665547954047
0,Electricity,tabpfn,137,5000,3,100–1k,26550,23929,0.9012806026365349
0,Electricity,tabpfn,137,5000,4,1k–10k,694,541,0.7795389048991355
0,Electricity,tabpfn,137,5000,5,10k–100k,29,29,1.0
0,Electricity,tabpfn,137,5000,6,100k–300k,0,0,
0,Electricity,tabpfn,137,5000,7,≥300k,0,0,
0,Electricity,tabpfn,137,10000,0,0–1,291780,289949,0.993724724107204
0,Electricity,tabpfn,137,10000,1,1–10,6638,5509,0.8299186501958421
0,Electricity,tabpfn,137,10000,2,10–100,30988,26601,0.858429069317155
0,Electricity,tabpfn,137,10000,3,100–1k,26550,24393,0.9187570621468927
0,Electricity,tabpfn,137,10000,4,1k–10k,694,621,0.8948126801152738
0,Electricity,tabpfn,137,10000,5,10k–100k,29,29,1.0
0,Electricity,tabpfn,137,10000,6,100k–300k,0,0,
0,Electricity,tabpfn,137,10000,7,≥300k,0,0,
0,Electricity,tabpfn,137,20000,0,0–1,291780,290155,0.9944307354856399
0,Electricity,tabpfn,137,20000,1,1–10,6638,5519,0.8314251280506176
0,Electricity,tabpfn,137,20000,2,10–100,30988,27379,0.8835355621530915
0,Electricity,tabpfn,137,20000,3,100–1k,26550,23159,0.8722787193973635
0,Electricity,tabpfn,137,20000,4,1k–10k,694,584,0.8414985590778098
0,Electricity,tabpfn,137,20000,5,10k–100k,29,28,0.9655172413793104
0,Electricity,tabpfn,137,20000,6,100k–300k,0,0,
0,Electricity,tabpfn,137,20000,7,≥300k,0,0,
0,Electricity,tabpfn,137,50000,0,0–1,291780,287565,0.9855541846596751
0,Electricity,tabpfn,137,50000,1,1–10,6638,5512,0.8303705935522748
0,Electricity,tabpfn,137,50000,2,10–100,30988,28204,0.9101587711372144
0,Electricity,tabpfn,137,50000,3,100–1k,26550,23609,0.8892278719397363
0,Electricity,tabpfn,137,50000,4,1k–10k,694,575,0.8285302593659942
0,Electricity,tabpfn,137,50000,5,10k–100k,29,29,1.0
0,Electricity,tabpfn,137,50000,6,100k–300k,0,0,
0,Electricity,tabpfn,137,50000,7,≥300k,0,0,
0,Electricity,tabpfn,137,100000,0,0–1,291780,286668,0.9824799506477483
0,Electricity,tabpfn,137,100000,1,1–10,6638,5461,0.8226875564929196
0,Electricity,tabpfn,137,100000,2,10–100,30988,28029,0.9045114237769459
0,Electricity,tabpfn,137,100000,3,100–1k,26550,23523,0.8859887005649717
0,Electricity,tabpfn,137,100000,4,1k–10k,694,535,0.770893371757925
0,Electricity,tabpfn,137,100000,5,10k–100k,29,29,1.0
0,Electricity,tabpfn,137,100000,6,100k–300k,0,0,
0,Electricity,tabpfn,137,100000,7,≥300k,0,0,
0,Electricity,trees,137,5000,0,0–1,291780,291561,0.9992494345054493
0,Electricity,trees,137,5000,1,1–10,6638,5018,0.7559505875263633
0,Electricity,trees,137,5000,2,10–100,30988,26726,0.862462888860204
0,Electricity,trees,137,5000,3,100–1k,26550,23589,0.8884745762711864
0,Electricity,trees,137,5000,4,1k–10k,694,485,0.6988472622478387
0,Electricity,trees,137,5000,5,10k–100k,29,28,0.9655172413793104
0,Electricity,trees,137,5000,6,100k–300k,0,0,
0,Electricity,trees,137,5000,7,≥300k,0,0,
0,Electricity,trees,137,10000,0,0–1,291780,291588,0.9993419699773802
0,Electricity,trees,137,10000,1,1–10,6638,5171,0.7789996987044291
0,Electricity,trees,137,10000,2,10–100,30988,27016,0.8718213502000774
0,Electricity,trees,137,10000,3,100–1k,26550,24148,0.9095291902071563
0,Electricity,trees,137,10000,4,1k–10k,694,562,0.8097982708933718
0,Electricity,trees,137,10000,5,10k–100k,29,28,0.9655172413793104
0,Electricity,trees,137,10000,6,100k–300k,0,0,
0,Electricity,trees,137,10000,7,≥300k,0,0,
0,Electricity,trees,137,20000,0,0–1,291780,291608,0.9994105147714031
0,Electricity,trees,137,20000,1,1–10,6638,5185,0.7811087677011148
0,Electricity,trees,137,20000,2,10–100,30988,27704,0.8940234929650187
0,Electricity,trees,137,20000,3,100–1k,26550,24453,0.9210169491525424
0,Electricity,trees,137,20000,4,1k–10k,694,568,0.8184438040345822
0,Electricity,trees,137,20000,5,10k–100k,29,29,1.0
0,Electricity,trees,137,20000,6,100k–300k,0,0,
0,Electricity,trees,137,20000,7,≥300k,0,0,
0,Electricity,trees,137,50000,0,0–1,291780,291641,0.9995236136815409
0,Electricity,trees,137,50000,1,1–10,6638,5462,0.8228382042783972
0,Electricity,trees,137,50000,2,10–100,30988,28396,0.9163547179553375
0,Electricity,trees,137,50000,3,100–1k,26550,24972,0.9405649717514124
0,Electricity,trees,137,50000,4,1k–10k,694,581,0.8371757925072046
0,Electricity,trees,137,50000,5,10k–100k,29,29,1.0
0,Electricity,trees,137,50000,6,100k–300k,0,0,
0,Electricity,trees,137,50000,7,≥300k,0,0,
0,Electricity,trees,137,100000,0,0–1,291780,291644,0.9995338954006443
0,Electricity,trees,137,100000,1,1–10,6638,5430,0.8180174751431154
0,Electricity,trees,137,100000,2,10–100,30988,28556,0.9215180069704402
0,Electricity,trees,137,100000,3,100–1k,26550,25057,0.9437664783427495
0,Electricity,trees,137,100000,4,1k–10k,694,570,0.8213256484149856
0,Electricity,trees,137,100000,5,10k–100k,29,29,1.0
