meter_id,meter,model,context_rows,regime_id,regime,anomaly_count,baseline_detected_count,f1_detected_count,threshold
0,Electricity,tabpfn,5000,0,0–1,291780,289869,283646,0.8255102634429932
0,Electricity,tabpfn,5000,1,1–10,6638,5459,4784,0.8255102634429932
0,Electricity,tabpfn,5000,2,10–100,30988,26503,22395,0.8255102634429932
0,Electricity,tabpfn,5000,3,100–1k,26550,23929,20334,0.8255102634429932
0,Electricity,tabpfn,5000,4,1k–10k,694,541,339,0.8255102634429932
0,Electricity,tabpfn,5000,5,10k–100k,29,29,7,0.8255102634429932
0,Electricity,tabpfn,5000,6,100k–300k,0,0,0,0.8255102634429932
0,Electricity,tabpfn,5000,7,≥300k,0,0,0,0.8255102634429932
0,Electricity,tabpfn,10000,0,0–1,291780,289949,280262,0.8334100246429443
0,Electricity,tabpfn,10000,1,1–10,6638,5509,4945,0.8334100246429443
0,Electricity,tabpfn,10000,2,10–100,30988,26601,22648,0.8334100246429443
0,Electricity,tabpfn,10000,3,100–1k,26550,24393,18763,0.8334100246429443
0,Electricity,tabpfn,10000,4,1k–10k,694,621,432,0.8334100246429443
0,Electricity,tabpfn,10000,5,10k–100k,29,29,22,0.8334100246429443
0,Electricity,tabpfn,10000,6,100k–300k,0,0,0,0.8334100246429443
0,Electricity,tabpfn,10000,7,≥300k,0,0,0,0.8334100246429443
0,Electricity,tabpfn,20000,0,0–1,291780,290155,282287,0.790613055229187
0,Electricity,tabpfn,20000,1,1–10,6638,5519,4985,0.790613055229187
0,Electricity,tabpfn,20000,2,10–100,30988,27379,24548,0.790613055229187
0,Electricity,tabpfn,20000,3,100–1k,26550,23159,19439,0.790613055229187
0,Electricity,tabpfn,20000,4,1k–10k,694,584,473,0.790613055229187
0,Electricity,tabpfn,20000,5,10k–100k,29,28,22,0.790613055229187
0,Electricity,tabpfn,20000,6,100k–300k,0,0,0,0.790613055229187
0,Electricity,tabpfn,20000,7,≥300k,0,0,0,0.790613055229187
0,Electricity,tabpfn,50000,0,0–1,291780,287565,279394,0.8175170421600342
0,Electricity,tabpfn,50000,1,1–10,6638,5512,4881,0.8175170421600342
0,Electricity,tabpfn,50000,2,10–100,30988,28204,25461,0.8175170421600342
0,Electricity,tabpfn,50000,3,100–1k,26550,23609,19684,0.8175170421600342
0,Electricity,tabpfn,50000,4,1k–10k,694,575,425,0.8175170421600342
0,Electricity,tabpfn,50000,5,10k–100k,29,29,27,0.8175170421600342
0,Electricity,tabpfn,50000,6,100k–300k,0,0,0,0.8175170421600342
0,Electricity,tabpfn,50000,7,≥300k,0,0,0,0.8175170421600342
0,Electricity,tabpfn,100000,0,0–1,291780,286668,282977,0.6683069467544556
0,Electricity,tabpfn,100000,1,1–10,6638,5461,5147,0.6683069467544556
0,Electricity,tabpfn,100000,2,10–100,30988,28029,26964,0.6683069467544556
0,Electricity,tabpfn,100000,3,100–1k,26550,23523,21765,0.6683069467544556
0,Electricity,tabpfn,100000,4,1k–10k,694,535,458,0.6683069467544556
0,Electricity,tabpfn,100000,5,10k–100k,29,29,29,0.6683069467544556
0,Electricity,tabpfn,100000,6,100k–300k,0,0,0,0.6683069467544556
0,Electricity,tabpfn,100000,7,≥300k,0,0,0,0.6683069467544556
0,Electricity,trees,5000,0,0–1,291780,291561,290564,0.8843597769737244
0,Electricity,trees,5000,1,1–10,6638,5018,3788,0.8843597769737244
0,Electricity,trees,5000,2,10–100,30988,26726,23532,0.8843597769737244
0,Electricity,trees,5000,3,100–1k,26550,23589,21274,0.8843597769737244
0,Electricity,trees,5000,4,1k–10k,694,485,365,0.8843597769737244
0,Electricity,trees,5000,5,10k–100k,29,28,12,0.8843597769737244
0,Electricity,trees,5000,6,100k–300k,0,0,0,0.8843597769737244
0,Electricity,trees,5000,7,≥300k,0,0,0,0.8843597769737244
0,Electricity,trees,10000,0,0–1,291780,291588,291108,0.8506138324737549
0,Electricity,trees,10000,1,1–10,6638,5171,4155,0.8506138324737549
0,Electricity,trees,10000,2,10–100,30988,27016,23774,0.8506138324737549
0,Electricity,trees,10000,3,100–1k,26550,24148,21909,0.8506138324737549
0,Electricity,trees,10000,4,1k–10k,694,562,448,0.8506138324737549
0,Electricity,trees,10000,5,10k–100k,29,28,24,0.8506138324737549
0,Electricity,trees,10000,6,100k–300k,0,0,0,0.8506138324737549
0,Electricity,trees,10000,7,≥300k,0,0,0,0.8506138324737549
0,Electricity,trees,20000,0,0–1,291780,291608,291123,0.8519443273544312
0,Electricity,trees,20000,1,1–10,6638,5185,4343,0.8519443273544312
0,Electricity,trees,20000,2,10–100,30988,27704,24594,0.8519443273544312
0,Electricity,trees,20000,3,100–1k,26550,24453,21975,0.8519443273544312
0,Electricity,trees,20000,4,1k–10k,694,568,472,0.8519443273544312
