meter_id,meter,model,feature_count,context_rows,threshold,holdout_max_f1,baseline_tn,baseline_fp,baseline_fn,baseline_tp,baseline_false_positive_rate,baseline_anomaly_recall,baseline_precision,baseline_f1,f1_tn,f1_fp,f1_fn,f1_tp,f1_false_positive_rate,f1_anomaly_recall,f1_precision,f1_f1,delta_fp,delta_false_positive_rate,delta_fn,delta_anomaly_recall
0,Electricity,tabpfn,137,5000,0.8255102634429932,0.9276772459454959,5599383,79009,10349,346330,0.013913974237777174,0.9709851154679698,0.8142446378065497,0.8857340879621698,5651877,26515,25174,331505,0.0046694557191542954,0.9294211321664578,0.9259398916261662,0.9276772459454959,-52494,-0.009244518518622877,14825,-0.04156398330151201
0,Electricity,tabpfn,137,10000,0.8334100246429443,0.9292095360799114,5608347,70045,9577,347102,0.012335358319749676,0.9731495266051547,0.8320855717528832,0.8971060677723416,5658164,20228,29607,327072,0.0035622760809750366,0.9169925899758606,0.9417564065649294,0.9292095360799114,-49817,-0.008773082238774639,20030,-0.05615693662929411
0,Electricity,tabpfn,137,20000,0.790613055229187,0.9369358683250302,5625410,52982,9855,346824,0.009330458341023303,0.9723701143044586,0.8674807281531542,0.9169355638247949,5658657,19735,24925,331754,0.003475455727607393,0.9301192388674411,0.9438531504542105,0.9369358683250302,-33247,-0.00585500261341591,15070,-0.042250875437017554
0,Electricity,tabpfn,137,50000,0.8175170421600342,0.9395104959834583,5635626,42766,11185,345494,0.007531357468804549,0.9686412712831426,0.8898521609230928,0.9275766203675737,5662722,15670,26807,329872,0.002759584051259582,0.9248427858102103,0.9546509541531855,0.9395104959834583,-27096,-0.004771773417544967,15622,-0.0437984854729323
0,Electricity,tabpfn,137,100000,0.6683069467544556,0.9438182756724921,5644253,34139,12434,344245,0.006012089337967509,0.9651395232127488,0.9097768404583704,0.9366408049378081,5657570,20822,19339,337340,0.003666883159880473,0.9457803795569686,0.9418642960448066,0.9438182756724921,-13317,-0.002345206178087036,6905,-0.019359143655780175
0,Electricity,trees,137,5000,0.8843597769737244,0.9468784815809986,5633283,45109,9272,347407,0.00794397428004266,0.974004637222825,0.8850772962121289,0.9274140911244737,5657439,20953,17144,339535,0.0036899530712215713,0.9519343723628249,0.9418760125163667,0.9468784815809986,-24156,-0.004254021208821089,7872,-0.02207026486000019
0,Electricity,trees,137,10000,0.8506138324737549,0.9491993811346143,5635604,42788,8166,348513,0.007535231805060306,0.9771054645773931,0.8906519533556009,0.9318778576967298,5657108,21284,15261,341418,0.0037482442212513683,0.9572136290614249,0.94131821715899,0.9491993811346143,-21504,-0.0037869875838089373,7095,-0.01989183551596818
0,Electricity,trees,137,20000,0.8519443273544312,0.952141765114663,5637684,40708,7132,349547,0.007168930922697834,0.9800044297533637,0.8956887163521288,0.9359515030779159,5658104,20288,14146,342533,0.0035728424525816463,0.9603396891883178,0.9440826192530201,0.952141765114663,-20420,-0.003596088470116188,7014,-0.019664740565045857
0,Electricity,trees,137,50000,0.8792746663093567,0.9557000742721538,5636181,42211,5598,351081,0.007433618531443409,0.9843052156140395,0.8926726198346266,0.936252201751801,5660360,18032,13759,342920,0.0031755468801731193,0.9614246983982797,0.9500432190429753,0.9557000742721538,-24179,-0.00425807165127029,8161,-0.022880517215759788
0,Electricity,trees,137,100000,0.9449846744537354,0.9571909174554974,5637373,41019,5393,351286,0.007223699948858762,0.9848799620947687,0.8954410471444412,0.9380333892312787,5668996,9396,20660,336019,0.0016546937935950881,0.9420767693079772,0.9727979387114051,0.9571909174554974,-31623,-0.005569006155263673,15267,-0.042803192786791455
