model,meter_id,meter,context_rows,class,rows,q01,q05,q25,q50,q75,q95,q99,below_0_5_rate,above_0_5_rate
tabpfn,0,Electricity,5000,normal,5678392,0.0004863150138407946,0.0007591577916173265,0.001859894604422152,0.004339670995250344,0.013613002840429544,0.1573392592370514,0.601065244078635,0.9860860257622228,0.013913974237777174
tabpfn,0,Electricity,5000,anomaly,356679,0.11767012834548951,0.7142478466033936,0.9939917922019958,0.9998430013656616,0.9999639391899109,0.9999749660491943,0.9999768137931824,0.029014884532030202,0.9709851154679698
tabpfn,1,Chilledwater,5000,normal,1974215,0.000761940433876589,0.0012034191167913377,0.0028220033273100853,0.006664912682026625,0.0249926233664155,0.8810433089733121,0.9742716681957243,0.9208181479727385,0.07918185202726147
tabpfn,1,Chilledwater,5000,anomaly,141139,0.12085647523403169,0.7020310819149017,0.9435032904148102,0.9734227657318115,0.988953709602356,0.9983872830867767,0.9995347034931182,0.02294192250193072,0.9770580774980693
tabpfn,2,Steam,5000,normal,1301721,0.0011017067823559045,0.0017317150486633182,0.004121001809835434,0.01047959178686142,0.04228239506483078,0.4929927587509155,0.962171232700348,0.9512445447219489,0.048755455278051134
tabpfn,2,Steam,5000,anomaly,48888,0.02373233648017049,0.09372019357979297,0.8847925215959549,0.9658333957195282,0.9842745214700699,0.9970997333526611,0.9986650514602661,0.13604565537555227,0.8639543446244478
tabpfn,3,Hotwater,5000,normal,545430,0.0010646810045000165,0.0018329334910959006,0.00507606694009155,0.01711846422404051,0.13556789979338646,0.8965755194425582,0.979950059056282,0.8731991272940616,0.12680087270593843
tabpfn,3,Hotwater,5000,anomaly,90691,0.009285763464868068,0.030068236403167248,0.9213926792144775,0.9583330154418945,0.9710424840450287,0.9836154282093048,0.9957007288932801,0.08642533437717083,0.9135746656228292
tabpfn,0,Electricity,10000,normal,5678392,0.000407753860054072,0.0006506978388642892,0.001590555184520781,0.003630145685747266,0.010758461197838187,0.12291039004921918,0.5697200262546533,0.9876646416802504,0.012335358319749676
tabpfn,0,Electricity,10000,anomaly,356679,0.1062287013232708,0.6516626715660095,0.9917080700397491,0.9996987581253052,0.9999380707740784,0.9999685287475586,0.9999738335609436,0.026850473394845226,0.9731495266051547
tabpfn,1,Chilledwater,10000,normal,1974215,0.0006504722312092781,0.0010544588905759156,0.0025433177361264825,0.0059868814423680305,0.023076560348272324,0.8153176367282862,0.9647552990913391,0.9237610898509028,0.07623891014909724
tabpfn,1,Chilledwater,10000,anomaly,141139,0.1363442644476891,0.7366524875164032,0.929237961769104,0.9729064702987671,0.9930981993675232,0.9988467395305634,0.9995180737972259,0.020809273127909367,0.9791907268720906
tabpfn,2,Steam,10000,normal,1301721,0.0008968535461463034,0.0014634834369644523,0.0036090794019401073,0.009266447275876999,0.0378904864192009,0.4430689215660095,0.9408848285675049,0.9578089314069604,0.042191068593039525
tabpfn,2,Steam,10000,anomaly,48888,0.02662456352263689,0.14663598239421843,0.8939997106790543,0.9733194708824158,0.9907317906618118,0.9972721844911575,0.9985689598321915,0.13175012272950418,0.8682498772704959
tabpfn,3,Hotwater,10000,normal,545430,0.0009239459218224511,0.0015792544174473733,0.00434186973143369,0.01382617186754942,0.10699966177344322,0.736231917142868,0.9625547182559967,0.8977467319362704,0.10225326806372953
tabpfn,3,Hotwater,10000,anomaly,90691,0.00975908599793911,0.053389107808470726,0.871993899345398,0.9546802043914795,0.982032835483551,0.991405576467514,0.9951199889183044,0.09196061351181484,0.9080393864881852
tabpfn,0,Electricity,20000,normal,5678392,0.00021760015879408457,0.00036012097698403525,0.0009800119732972234,0.0025103494990617037,0.008232761640101671,0.09526566229760658,0.483447758555412,0.9906695416589767,0.009330458341023303
tabpfn,0,Electricity,20000,anomaly,356679,0.12658499419689181,0.6779645323753357,0.9935807585716248,0.9999153017997742,0.9999791979789734,0.9999855756759644,0.9999864101409912,0.027629885695541367,0.9723701143044586
tabpfn,1,Chilledwater,20000,normal,1974215,0.0004309747600927949,0.0007353476888965816,0.001888829458039254,0.0046088737435638905,0.018631153739988804,0.7842655777931188,0.9502930712699886,0.9284596662470906,0.07154033375290939
tabpfn,1,Chilledwater,20000,anomaly,141139,0.15528748005628587,0.7006268560886383,0.9277849495410919,0.9725413918495178,0.9936330318450928,0.9994140267372131,0.999805964231491,0.029743727814424078,0.970256272185576
tabpfn,2,Steam,20000,normal,1301721,0.0005741154891438782,0.000958678312599659,0.002539917128160596,0.006973303854465485,0.029225962236523628,0.40246817469596863,0.9421324968338013,0.9599806717414868,0.040019328258513155
tabpfn,2,Steam,20000,anomaly,48888,0.023252313546836375,0.2218548074364662,0.9001903980970383,0.9826937615871429,0.9951724857091904,0.9988507896661758,0.9994468480348587,0.1224635902470954,0.8775364097529046
tabpfn,3,Hotwater,20000,normal,545430,0.000691852472955361,0.00119655744638294,0.0034325721790082753,0.010884485207498074,0.08517048321664333,0.6813347399234772,0.9600969773530958,0.922077993509708,0.07792200649029206
tabpfn,3,Hotwater,20000,anomaly,90691,0.006345910998061299,0.08169687911868095,0.8015946745872498,0.9392321109771729,0.9878827333450317,0.9974579513072968,0.9983827888965606,0.10061637869248327,0.8993836213075167
tabpfn,0,Electricity,50000,normal,5678392,0.00015199861925793812,0.0002746367026702501,0.0007933578453958035,0.00198710011318326,0.006132258684374392,0.06587305814027791,0.40971521228551666,0.9924686425311955,0.007531357468804549
tabpfn,0,Electricity,50000,anomaly,356679,0.1547901910543442,0.6498493194580078,0.9961413443088531,0.9999662637710571,0.999987006187439,0.999987006187439,0.999987006187439,0.03135872871685746,0.9686412712831426
tabpfn,1,Chilledwater,50000,normal,1974215,0.00023233512416481972,0.0004220307804644108,0.0011463983682915568,0.0028773087542504072,0.012143189553171396,0.7738365471363067,0.9593652772903437,0.9333056430024086,0.06669435699759145
tabpfn,1,Chilledwater,50000,anomaly,141139,0.18698873430490495,0.7276567161083222,0.925157755613327,0.9774966835975647,0.9943998157978058,0.9993516266345978,0.9997808110713958,0.03052310133981394,0.969476898660186
tabpfn,2,Steam,50000,normal,1301721,0.0003339123446494341,0.000571668439079076,0.0015475638210773468,0.004421979188919067,0.020764276385307312,0.3239873945713043,0.8873314619064332,0.9687628915873678,0.0312371084126322
tabpfn,2,Steam,50000,anomaly,48888,0.029653386790305377,0.22463627234101294,0.9205386191606522,0.9890697300434113,0.9974329620599747,0.999568521976471,0.9997927623987198,0.11675666830306006,0.8832433316969399
tabpfn,3,Hotwater,50000,normal,545430,0.0003984200637205504,0.0007024204853223637,0.00209924194496125,0.0074795091059058905,0.06850572675466537,0.621975573897361,0.943715881705284,0.9324569605632254,0.06754303943677466
tabpfn,3,Hotwater,50000,anomaly,90691,0.007229313720017672,0.10671281814575195,0.7089110910892487,0.9322006702423096,0.9947465658187866,0.9998089373111725,0.9998993277549744,0.17052408728539767,0.8294759127146023
tabpfn,0,Electricity,100000,normal,5678392,0.00012561828407342546,0.00024049713538261132,0.0007212421769509092,0.0017316821031272411,0.004940128652378917,0.04564953278750182,0.3344098412990566,0.9939879106620325,0.006012089337967509
tabpfn,0,Electricity,100000,anomaly,356679,0.14321311056613922,0.6411484956741333,0.9969442486763,0.9999754428863525,0.999987006187439,0.999987006187439,0.999987006187439,0.03486047678725128,0.9651395232127488
tabpfn,1,Chilledwater,100000,normal,1974215,0.000134012829803396,0.0002439145464450121,0.0006679109646938741,0.001728499191813171,0.008013830054551363,0.7264896929264051,0.9606780862808226,0.9345881780859734,0.06541182191402659
tabpfn,1,Chilledwater,100000,anomaly,141139,0.17461017370224,0.6581721782684327,0.9194532632827759,0.9783658981323242,0.9955036640167236,0.9995960116386413,0.9998629462718963,0.03291790362692098,0.9670820963730791
tabpfn,2,Steam,100000,normal,1301721,0.00017242361791431905,0.0002996921830344945,0.0008524574222974479,0.0024708264973014593,0.01265894714742899,0.24281221628189087,0.8544807195663452,0.97578206082563,0.02421793917436993
tabpfn,2,Steam,100000,anomaly,48888,0.025392846167087556,0.22984886914491653,0.9146468043327332,0.9920373260974884,0.9986416399478912,0.999892869591713,0.9999455809593201,0.11667484863361152,0.8833251513663885
tabpfn,3,Hotwater,100000,normal,545430,0.0001740344903373625,0.0003138615589705296,0.0009964115160983056,0.004032212775200605,0.049790660850703716,0.5650521606206893,0.9128628009557724,0.9411895201950754,0.058810479804924556
tabpfn,3,Hotwater,100000,anomaly,90691,0.0023263964103534818,0.06307189166545868,0.5922398865222931,0.9055536389350891,0.9943805932998657,0.999875396490097,0.9999586999416351,0.20769425852620435,0.7923057414737956
trees,0,Electricity,5000,normal,5678392,0.00040437513031065463,0.0006059920298866928,0.0011871606693603098,0.002155331429094076,0.004872404038906097,0.054938109777867825,0.39551461935043264,0.9920560257199573,0.00794397428004266
trees,0,Electricity,5000,anomaly,356679,0.0525100051611662,0.8944689929485321,0.9947580695152283,0.9986153244972229,0.9993217289447784,0.9995609521865845,0.9997251033782959,0.025995362777174996,0.974004637222825
trees,1,Chilledwater,5000,normal,1974215,0.00040498818969354034,0.0006089388043619692,0.0012700672959908843,0.0026443239767104387,0.008611903991550207,0.9578258454799651,0.993007242679596,0.9196647781523289,0.0803352218476711
trees,1,Chilledwater,5000,anomaly,141139,0.051198879182338744,0.7556994438171387,0.9681054949760437,0.9885413646697998,0.9940337240695953,0.9980454683303833,0.9988166832923889,0.02658372242966154,0.9734162775703384
trees,2,Steam,5000,normal,1301721,0.00032721151364967227,0.0005274171708151698,0.0012418956030160189,0.0028287379536777735,0.009649762883782387,0.45912545919418335,0.9681162238121034,0.9527402569367783,0.04725974306322169
trees,2,Steam,5000,anomaly,48888,0.0015640921401791274,0.0071950206765905005,0.906587153673172,0.9808558523654938,0.9917836487293243,0.9967833548784256,0.9980242562294006,0.13355015545737195,0.8664498445426281
trees,3,Hotwater,5000,normal,545430,0.0002920954188448377,0.0005187059054151177,0.0014984909212216735,0.004470298299565911,0.051099080592393875,0.8960385888814926,0.9787914896011352,0.8807179656417872,0.11928203435821279
trees,3,Hotwater,5000,anomaly,90691,0.007188355177640915,0.04328453168272972,0.8851372599601746,0.9703562259674072,0.9895150661468506,0.9947175681591034,0.9962737739086152,0.10691248304682935,0.8930875169531707
trees,0,Electricity,10000,normal,5678392,0.00044154603529023007,0.0006699916470097378,0.0013143624819349498,0.002278063679113984,0.0048165658954530954,0.044044286385178606,0.3607602003216742,0.9924647681949397,0.007535231805060306
trees,0,Electricity,10000,anomaly,356679,0.08670049220323564,0.8944879233837127,0.9948087930679321,0.9986662864685059,0.9993807673454285,0.9996397495269775,0.9997623693943024,0.02289453542260688,0.9771054645773931
trees,1,Chilledwater,10000,normal,1974215,0.0004943409922998399,0.000757697771769017,0.0016039221081882715,0.003314654342830181,0.010970270726829767,0.8767077326774596,0.9823734509944916,0.9235741801171605,0.0764258198828395
trees,1,Chilledwater,10000,anomaly,141139,0.10523919343948365,0.6680144429206848,0.9515381455421448,0.9839370846748352,0.992163747549057,0.9979509234428405,0.9990832471847534,0.030799424680633986,0.969200575319366
trees,2,Steam,10000,normal,1301721,0.00036635465221479535,0.00059365393826738,0.0014008391881361604,0.0032820170745253563,0.012097570113837719,0.37472450733184814,0.9596697092056274,0.9601089634414748,0.03989103655852522
trees,2,Steam,10000,anomaly,48888,0.0024014396825805307,0.013318927958607674,0.9086184799671173,0.9742648303508759,0.9890841096639633,0.9963001787662507,0.9978785252571106,0.12997054491899854,0.8700294550810015
trees,3,Hotwater,10000,normal,545430,0.0003672615741379559,0.0006542351387906819,0.0018030477222055197,0.0054603335447609425,0.05153927206993103,0.8053480029106139,0.9624530762434005,0.900597693562877,0.099402306437123
trees,3,Hotwater,10000,anomaly,90691,0.005813547037541866,0.029922802932560444,0.8157915771007538,0.9499096870422363,0.9779256582260132,0.9906416237354279,0.9939278900623322,0.1360553968971563,0.8639446031028437
trees,0,Electricity,20000,normal,5678392,0.0005325536517193541,0.0007741920126136392,0.001463084336137399,0.002481067320331931,0.004985146108083427,0.0392985524609685,0.3186734113097188,0.9928310690773021,0.007168930922697834
trees,0,Electricity,20000,anomaly,356679,0.14181347846984865,0.9041885197162628,0.9949615895748138,0.9988241791725159,0.999413013458252,0.9996470808982849,0.99976832985878,0.01999557024663633,0.9800044297533637
trees,1,Chilledwater,20000,normal,1974215,0.000626789170783013,0.0009481169923674317,0.0018987974617630243,0.0036770650185644627,0.011520765721797943,0.8190362274646756,0.98061203956604,0.9257345324597371,0.07426546754026284
trees,1,Chilledwater,20000,anomaly,141139,0.15033710837364203,0.6620709598064423,0.9376073479652405,0.980445921421051,0.9908316433429718,0.9973865330219269,0.9989793586730957,0.03121745229879764,0.9687825477012023
trees,2,Steam,20000,normal,1301721,0.0004744160396512598,0.00072867376729846,0.0015977956354618073,0.0035837525501847267,0.013241352513432503,0.31655022501945496,0.9459041118621826,0.9639761515716502,0.03602384842834985
trees,2,Steam,20000,anomaly,48888,0.0035485962266102434,0.017660303227603435,0.8939612805843353,0.9706716537475586,0.9870316237211227,0.9952343732118607,0.9973363381624222,0.1266363933889707,0.8733636066110293
trees,3,Hotwater,20000,normal,545430,0.000549477965105325,0.0008830225182464346,0.002201031136792153,0.006582456873729825,0.05105635058134794,0.7027617990970612,0.9631519246101379,0.9145389875877747,0.08546101241222522
trees,3,Hotwater,20000,anomaly,90691,0.0064600110985338684,0.03965691290795803,0.7670208811759949,0.9452738761901855,0.9753133058547974,0.9889031648635864,0.9933602809906006,0.1567410217110849,0.8432589782889152
trees,0,Electricity,50000,normal,5678392,0.000685865044943057,0.0009355473099276424,0.0016481297498103231,0.002728993771597743,0.005473332712426782,0.03834749720990661,0.34722139835357346,0.9925663814685566,0.007433618531443409
trees,0,Electricity,50000,anomaly,356679,0.26432297587394715,0.9250994741916657,0.9945273995399475,0.9988116025924683,0.9993540048599243,0.9996031582355499,0.9997901916503906,0.015694784385960486,0.9843052156140395
trees,1,Chilledwater,50000,normal,1974215,0.0007522678736131638,0.0010643163579516113,0.002009780379012227,0.0038208537735044956,0.011289027519524097,0.8428868591785423,0.9756161487102508,0.9299134086206416,0.07008659137935838
trees,1,Chilledwater,50000,anomaly,141139,0.20531598627567296,0.7396668076515198,0.9429351091384888,0.9761185050010681,0.9893164932727814,0.9965987265110016,0.9984880495071411,0.021730350930642843,0.9782696490693572
trees,2,Steam,50000,normal,1301721,0.0007222008891403676,0.0010273478692397475,0.002009723335504532,0.004165067337453365,0.014257671311497688,0.27170729637145996,0.9048723101615908,0.9671058544803379,0.03289414551966205
trees,2,Steam,50000,anomaly,48888,0.0034155389945954083,0.01871143141761422,0.8332665711641312,0.9601466059684753,0.9810484945774078,0.9929479718208313,0.9958916759490967,0.1262068401243659,0.8737931598756341
trees,3,Hotwater,50000,normal,545430,0.0009446161572122946,0.0013801689201500267,0.0030501087894663215,0.00826292298734188,0.056868258863687515,0.6494158923625946,0.9331389105319975,0.9193168692591167,0.08068313074088335
trees,3,Hotwater,50000,anomaly,90691,0.00619828156195581,0.04263535141944885,0.7744832932949066,0.9314554929733276,0.9686678647994995,0.9875493049621582,0.9924916207790375,0.16851727293777774,0.8314827270622223
trees,0,Electricity,100000,normal,5678392,0.0006660080357687548,0.0008951530675403774,0.0015942877507768571,0.0026813443982973695,0.005403800867497921,0.033447905629873334,0.32377618998289004,0.9927763000511413,0.007223699948858762
trees,0,Electricity,100000,anomaly,356679,0.30299381196498876,0.9241453170776367,0.9959233403205872,0.9991353750228882,0.9995225071907043,0.9997045397758484,0.9998505115509033,0.015120037905231315,0.9848799620947687
trees,1,Chilledwater,100000,normal,1974215,0.0008218744944315404,0.0011539301835000516,0.0021150809479877353,0.00391001719981432,0.011206410359591246,0.8400653123855589,0.9751521205902098,0.9323209478197664,0.06767905218023366
trees,1,Chilledwater,100000,anomaly,141139,0.15825185507535938,0.6630752742290497,0.9368371367454529,0.9752487540245056,0.9888303577899933,0.9960180461406708,0.998376681804657,0.02426685749509349,0.9757331425049065
trees,2,Steam,100000,normal,1301721,0.0007406499236822129,0.0010617438238114119,0.0020579039119184017,0.00413262564688921,0.013102520257234573,0.22826634347438812,0.8957024335861207,0.9696570924184215,0.03034290758157854
trees,2,Steam,100000,anomaly,48888,0.004107500840909779,0.020343751180917025,0.7755919992923737,0.9567916989326477,0.9812071621417999,0.9930972099304199,0.9963247233629227,0.12649320896743577,0.8735067910325642
trees,3,Hotwater,100000,normal,545430,0.0009895146591588854,0.0014379918575286865,0.003054385248105973,0.008103634230792522,0.05390042718499899,0.6034526556730269,0.9254897606372833,0.928892800176008,0.07110719982399208
trees,3,Hotwater,100000,anomaly,90691,0.005855605565011501,0.03418624773621559,0.756890594959259,0.9273494482040405,0.9682202041149139,0.9875050485134125,0.9931329965591431,0.18056918547595682,0.8194308145240432
