building_seed,row_seed,role_seed,model_seed,position,building_id,site_id,sampling_attempt,site_draw_rank,site_candidate_count,site_tie_priority,tree_role,rows,anomalies,anomaly_rate,meter_0_rows,meter_0_anomalies,meter_0_present,meter_0_row_share,meter_0_anomaly_rate,meter_1_rows,meter_1_anomalies,meter_1_present,meter_1_row_share,meter_1_anomaly_rate,meter_2_rows,meter_2_anomalies,meter_2_present,meter_2_row_share,meter_2_anomaly_rate,meter_3_rows,meter_3_anomalies,meter_3_present,meter_3_row_share,meter_3_anomaly_rate,meter_count,anomaly_meter_count,zero_anomaly,anomaly_bin,size_bin,primary_use,meter_presence,first_included_K
50,42,,42,1,430,3,21,1,137,15,fit,8782,21,0.0023912548394443,8782,21,1,1.0,0.0023912548394443,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q2,Public services,0,10
50,42,,42,2,1074,13,21,1,77,13,fit,17568,6,0.0003415300546448,8784,3,1,0.5,0.0003415300546448,8784,3,1,0.5,0.0003415300546448,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,2,0,positive_low,size_q3,Office,"0,1",10
50,42,,42,3,210,2,21,1,68,11,fit,26343,33,0.0012527047033367,8781,33,1,0.3333333333333333,0.0037581141100102,8781,0,1,0.3333333333333333,0.0,0,0,0,0.0,0.0,8781,0,1,0.3333333333333333,0.0,3,1,0,positive_low,size_q4,Education,"0,1,3",10
50,42,,42,4,1338,15,21,1,62,1,fit,14924,61,0.0040873760385955,7470,0,1,0.5005360493165372,0.0,0,0,0,0.0,0.0,7454,61,1,0.4994639506834629,0.0081835256238261,0,0,0,0.0,0.0,2,1,0,positive_mid,size_q3,Education,"0,2",10
50,42,,42,5,888,9,21,1,62,14,early_stop,26315,782,0.0297168915067452,8766,254,1,0.3331179935398062,0.028975587497148,8768,268,1,0.3331939958198746,0.0305656934306569,8781,260,1,0.3336880106403192,0.0296093838970504,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Entertainment/public assembly,"0,1,2",10
50,42,,42,6,34,0,21,1,53,0,fit,8784,3385,0.3853597449908925,8784,3385,1,1.0,0.3853597449908925,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_high,size_q2,Lodging/residential,0,10
50,42,,42,7,1302,14,21,1,51,8,fit,26351,6437,0.2442791544912906,8783,863,1,0.3333080338507077,0.0982579984060116,8784,795,1,0.3333459830746461,0.0905054644808743,0,0,0,0.0,0.0,8784,4779,1,0.3333459830746461,0.5440573770491803,3,3,0,positive_high,size_q4,Office,"0,1,3",10
50,42,,42,8,432,3,21,2,137,15,fit,8782,8,0.0009109542245502,8782,8,1,1.0,0.0009109542245502,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q2,Public services,0,10
50,42,,42,9,714,5,21,1,45,5,fit,8784,71,0.0080828779599271,8784,71,1,1.0,0.0080828779599271,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_mid,size_q3,Education,0,10
50,42,,42,10,606,4,21,1,45,7,early_stop,8750,0,0.0,8750,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Utility,0,10
50,42,,42,11,836,8,21,1,35,12,fit,8447,0,0.0,8447,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Public services,0,20
50,42,,42,12,144,1,21,1,25,9,fit,17567,5691,0.3239596971594466,8784,5581,1,0.5000284624580179,0.6353597449908925,0,0,0,0.0,0.0,0,0,0,0.0,0.0,8783,110,1,0.4999715375419821,0.0125241944665831,2,2,0,positive_high,size_q3,Office,"0,3",20
50,42,,42,13,308,3,21,3,137,15,fit,8782,1,0.0001138692780687,8782,1,1,1.0,0.0001138692780687,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q2,Public services,0,20
50,42,,42,14,1094,13,21,2,77,13,fit,26352,341,0.0129401942926533,8784,5,1,0.3333333333333333,0.0005692167577413,8784,333,1,0.3333333333333333,0.0379098360655737,8784,3,1,0.3333333333333333,0.0003415300546448,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Office,"0,1,2",20
50,42,,42,15,772,6,21,1,22,2,early_stop,8678,2771,0.3193132058077898,0,0,0,0.0,0.0,0,0,0,0.0,0.0,8678,2771,1,1.0,0.3193132058077898,0,0,0,0.0,0.0,1,1,0,positive_high,size_q1,Lodging/residential,2,20
50,42,,42,16,200,2,21,2,68,11,fit,26343,7160,0.2717989598754887,8781,32,1,0.3333333333333333,0.0036442318642523,8781,70,1,0.3333333333333333,0.007971757203052,0,0,0,0.0,0.0,8781,7058,1,0.3333333333333333,0.8037808905591618,3,3,0,positive_high,size_q4,Entertainment/public assembly,"0,1,3",20
50,42,,42,17,1438,15,21,2,62,1,fit,14938,65,0.0043513187843084,7472,0,1,0.5002008300977373,0.0,0,0,0,0.0,0.0,7466,65,1,0.4997991699022627,0.0087061344762925,0,0,0,0.0,0.0,2,1,0,positive_mid,size_q3,Education,"0,2",20
50,42,,42,18,914,9,21,2,62,14,fit,26312,665,0.0252736394040741,8766,228,1,0.3331559744603223,0.0260095824777549,8770,222,1,0.3333079963514746,0.0253135689851767,8776,215,1,0.3335360291882031,0.0244986326344576,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Education,"0,1,2",20
50,42,,42,19,460,3,21,4,137,15,fit,8758,0,0.0,8758,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Public services,0,20
50,42,,42,20,1052,12,21,1,18,4,early_stop,8784,1,0.0001138433515482,8784,1,1,1.0,0.0001138433515482,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q3,Retail,0,20
