K,seed_a,seed_b,intersection_count,union_count,jaccard_similarity
10,47,48,1,19,0.05263157894736842
10,47,49,0,20,0.0
10,47,50,2,18,0.1111111111111111
10,47,51,0,20,0.0
10,48,49,0,20,0.0
10,48,50,0,20,0.0
10,48,51,0,20,0.0
10,49,50,0,20,0.0
10,49,51,1,19,0.05263157894736842
10,50,51,0,20,0.0
20,47,48,2,38,0.05263157894736842
20,47,49,1,39,0.02564102564102564
20,47,50,2,38,0.05263157894736842
20,47,51,2,38,0.05263157894736842
20,48,49,0,40,0.0
20,48,50,1,39,0.02564102564102564
20,48,51,0,40,0.0
20,49,50,0,40,0.0
20,49,51,3,37,0.08108108108108109
20,50,51,0,40,0.0
50,47,48,5,95,0.05263157894736842
50,47,49,3,97,0.030927835051546393
50,47,50,6,94,0.06382978723404255
50,47,51,3,97,0.030927835051546393
50,48,49,6,94,0.06382978723404255
50,48,50,4,96,0.041666666666666664
50,48,51,5,95,0.05263157894736842
50,49,50,2,98,0.02040816326530612
50,49,51,8,92,0.08695652173913043
50,50,51,1,99,0.010101010101010102
100,47,48,18,182,0.0989010989010989
100,47,49,11,189,0.0582010582010582
100,47,50,14,186,0.07526881720430108
100,47,51,19,181,0.10497237569060773
100,48,49,13,187,0.06951871657754011
100,48,50,17,183,0.09289617486338798
100,48,51,19,181,0.10497237569060773
100,49,50,11,189,0.0582010582010582
100,49,51,19,181,0.10497237569060773
100,50,51,7,193,0.03626943005181347
