building_seed,K,sampling_attempt,constraint_pass,reproducibility_digest,total_available_rows,total_anomaly_rows,natural_anomaly_prevalence,site_distribution_json,primary_use_distribution_json,meter_presence_json,meter_row_share_json,anomaly_rate_bin_distribution_json,anomaly_bearing_meter_count_distribution_json,building_size_bin_distribution_json
47,10,3,True,47209e4e196703d119017168df31b010ee47b5185709435fdc22c1c9ed7f8333,171556,11087,0.06462612791158572,"{""counts"": {""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}, ""shares"": {""0"": 0.1, ""13"": 0.1, ""14"": 0.1, ""15"": 0.1, ""2"": 0.1, ""3"": 0.2, ""4"": 0.1, ""5"": 0.1, ""9"": 0.1}}","{""counts"": {""Education"": 3, ""Entertainment/public assembly"": 3, ""Office"": 2, ""Public services"": 2}, ""shares"": {""Education"": 0.3, ""Entertainment/public assembly"": 0.3, ""Office"": 0.2, ""Public services"": 0.2}}","{""counts"": {""0"": 10, ""1"": 5, ""2"": 3, ""3"": 2}, ""shares"": {""0"": 1.0, ""1"": 0.5, ""2"": 0.3, ""3"": 0.2}}","{""0"": 0.5041968803189629, ""1"": 0.24747604280817925, ""2"": 0.145940684091492, ""3"": 0.10238639278136585}","{""counts"": {""positive_high"": 2, ""positive_low"": 2, ""positive_mid"": 3, ""zero"": 3}, ""shares"": {""positive_high"": 0.2, ""positive_low"": 0.2, ""positive_mid"": 0.3, ""zero"": 0.3}}","{""counts"": {""0"": 3, ""1"": 4, ""3"": 3}, ""shares"": {""0"": 0.3, ""1"": 0.4, ""3"": 0.3}}","{""counts"": {""size_q2"": 4, ""size_q3"": 1, ""size_q4"": 5}, ""shares"": {""size_q2"": 0.4, ""size_q3"": 0.1, ""size_q4"": 0.5}}"
47,20,3,True,b7c0e4ee7fd8ad6c0dbc3c6090945f49b5585c9feaf31207378c56a06646cdee,325020,14235,0.04379730478124423,"{""counts"": {""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}, ""shares"": {""0"": 0.05, ""1"": 0.05, ""12"": 0.05, ""13"": 0.1, ""14"": 0.05, ""15"": 0.1, ""2"": 0.1, ""3"": 0.2, ""4"": 0.05, ""5"": 0.05, ""6"": 0.05, ""8"": 0.05, ""9"": 0.1}}","{""counts"": {""Education"": 7, ""Entertainment/public assembly"": 5, ""Lodging/residential"": 1, ""Office"": 3, ""Public services"": 4}, ""shares"": {""Education"": 0.35, ""Entertainment/public assembly"": 0.25, ""Lodging/residential"": 0.05, ""Office"": 0.15, ""Public services"": 0.2}}","{""counts"": {""0"": 20, ""1"": 8, ""2"": 7, ""3"": 3}, ""shares"": {""0"": 1.0, ""1"": 0.4, ""2"": 0.35, ""3"": 0.15}}","{""0"": 0.5307242631222694, ""1"": 0.20719340348286258, ""2"": 0.1810165528275183, ""3"": 0.0810657805673497}","{""counts"": {""positive_high"": 4, ""positive_low"": 6, ""positive_mid"": 6, ""zero"": 4}, ""shares"": {""positive_high"": 0.2, ""positive_low"": 0.3, ""positive_mid"": 0.3, ""zero"": 0.2}}","{""counts"": {""0"": 4, ""1"": 9, ""2"": 2, ""3"": 5}, ""shares"": {""0"": 0.2, ""1"": 0.45, ""2"": 0.1, ""3"": 0.25}}","{""counts"": {""size_q1"": 2, ""size_q2"": 6, ""size_q3"": 3, ""size_q4"": 9}, ""shares"": {""size_q1"": 0.1, ""size_q2"": 0.3, ""size_q3"": 0.15, ""size_q4"": 0.45}}"
47,50,3,True,25d82605face7a351d5b26aed924de1a1019975d1e9accb7647955905b2a13e0,806986,53673,0.0665104475170573,"{""counts"": {""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}, ""shares"": {""0"": 0.08, ""1"": 0.04, ""10"": 0.02, ""12"": 0.02, ""13"": 0.1, ""14"": 0.08, ""15"": 0.08, ""2"": 0.1, ""3"": 0.18, ""4"": 0.06, ""5"": 0.06, ""6"": 0.04, ""7"": 0.02, ""8"": 0.04, ""9"": 0.08}}","{""counts"": {""Education"": 19, ""Entertainment/public assembly"": 9, ""Lodging/residential"": 4, ""Office"": 8, ""Parking"": 1, ""Public services"": 9}, ""shares"": {""Education"": 0.38, ""Entertainment/public assembly"": 0.18, ""Lodging/residential"": 0.08, ""Office"": 0.16, ""Parking"": 0.02, ""Public services"": 0.18}}","{""counts"": {""0"": 49, ""1"": 24, ""2"": 14, ""3"": 8}, ""shares"": {""0"": 0.98, ""1"": 0.48, ""2"": 0.28, ""3"": 0.16}}","{""0"": 0.521422924313433, ""1"": 0.2443065926794269, ""2"": 0.1472070147437502, ""3"": 0.08706346826338995}","{""counts"": {""positive_high"": 14, ""positive_low"": 13, ""positive_mid"": 14, ""zero"": 9}, ""shares"": {""positive_high"": 0.28, ""positive_low"": 0.26, ""positive_mid"": 0.28, ""zero"": 0.18}}","{""counts"": {""0"": 9, ""1"": 20, ""2"": 10, ""3"": 11}, ""shares"": {""0"": 0.18, ""1"": 0.4, ""2"": 0.2, ""3"": 0.22}}","{""counts"": {""size_q1"": 9, ""size_q2"": 10, ""size_q3"": 11, ""size_q4"": 20}, ""shares"": {""size_q1"": 0.18, ""size_q2"": 0.2, ""size_q3"": 0.22, ""size_q4"": 0.4}}"
47,100,3,True,8ef855794489ecd0a9ae8049084222eef19a222dd2e117281cbffabb230302c7,1537175,101053,0.06573942459381658,"{""counts"": {""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 8, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 9}, ""shares"": {""0"": 0.07, ""1"": 0.03, ""10"": 0.02, ""11"": 0.01, ""12"": 0.03, ""13"": 0.11, ""14"": 0.07, ""15"": 0.08, ""2"": 0.09, ""3"": 0.19, ""4"": 0.06, ""5"": 0.06, ""6"": 0.03, ""7"": 0.01, ""8"": 0.05, ""9"": 0.09}}","{""counts"": {""Education"": 34, ""Entertainment/public assembly"": 19, ""Lodging/residential"": 6, ""Office"": 17, ""Parking"": 1, ""Public services"": 20, ""Retail"": 1, ""Services"": 1, ""Warehouse/storage"": 1}, ""shares"": {""Education"": 0.34, ""Entertainment/public assembly"": 0.19, ""Lodging/residential"": 0.06, ""Office"": 0.17, ""Parking"": 0.01, ""Public services"": 0.2, ""Retail"": 0.01, ""Services"": 0.01, ""Warehouse/storage"": 0.01}}","{""counts"": {""0"": 97, ""1"": 43, ""2"": 26, ""3"": 15}, ""shares"": {""0"": 0.97, ""1"": 0.43, ""2"": 0.26, ""3"": 0.15}}","{""0"": 0.5400458633532291, ""1"": 0.23120529542830193, ""2"": 0.14326410460747802, ""3"": 0.08548473661099094}","{""counts"": {""positive_high"": 27, ""positive_low"": 24, ""positive_mid"": 31, ""zero"": 18}, ""shares"": {""positive_high"": 0.27, ""positive_low"": 0.24, ""positive_mid"": 0.31, ""zero"": 0.18}}","{""counts"": {""0"": 18, ""1"": 46, ""2"": 14, ""3"": 22}, ""shares"": {""0"": 0.18, ""1"": 0.46, ""2"": 0.14, ""3"": 0.22}}","{""counts"": {""size_q1"": 18, ""size_q2"": 21, ""size_q3"": 26, ""size_q4"": 35}, ""shares"": {""size_q1"": 0.18, ""size_q2"": 0.21, ""size_q3"": 0.26, ""size_q4"": 0.35}}"
48,10,2,True,45b4147fc26501c19ae57ba8ce0556ddca404e04d42ad29903249b5d14973c1e,137696,17418,0.1264960492679526,"{""counts"": {""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}, ""shares"": {""0"": 0.1, ""13"": 0.1, ""14"": 0.1, ""15"": 0.1, ""2"": 0.1, ""3"": 0.2, ""4"": 0.1, ""5"": 0.1, ""9"": 0.1}}","{""counts"": {""Education"": 4, ""Healthcare"": 1, ""Office"": 2, ""Other"": 1, ""Public services"": 1, ""Utility"": 1}, ""shares"": {""Education"": 0.4, ""Healthcare"": 0.1, ""Office"": 0.2, ""Other"": 0.1, ""Public services"": 0.1, ""Utility"": 0.1}}","{""counts"": {""0"": 9, ""1"": 3, ""2"": 2, ""3"": 2}, ""shares"": {""0"": 0.9, ""1"": 0.3, ""2"": 0.2, ""3"": 0.2}}","{""0"": 0.5644172670230072, ""1"": 0.19135632117127585, ""2"": 0.11805716941668604, ""3"": 0.1261692423890309}","{""counts"": {""positive_high"": 3, ""positive_low"": 1, ""positive_mid"": 4, ""zero"": 2}, ""shares"": {""positive_high"": 0.3, ""positive_low"": 0.1, ""positive_mid"": 0.4, ""zero"": 0.2}}","{""counts"": {""0"": 2, ""1"": 5, ""2"": 1, ""3"": 2}, ""shares"": {""0"": 0.2, ""1"": 0.5, ""2"": 0.1, ""3"": 0.2}}","{""counts"": {""size_q1"": 1, ""size_q2"": 4, ""size_q3"": 3, ""size_q4"": 2}, ""shares"": {""size_q1"": 0.1, ""size_q2"": 0.4, ""size_q3"": 0.3, ""size_q4"": 0.2}}"
48,20,2,True,9bae6dfd38036697fa4ad266c36cb0d43442e182c6b4b71556a878e4b5b69dec,289717,29070,0.10033929662394682,"{""counts"": {""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}, ""shares"": {""0"": 0.05, ""1"": 0.05, ""12"": 0.05, ""13"": 0.1, ""14"": 0.05, ""15"": 0.1, ""2"": 0.1, ""3"": 0.2, ""4"": 0.05, ""5"": 0.05, ""6"": 0.05, ""8"": 0.05, ""9"": 0.1}}","{""counts"": {""Education"": 6, ""Entertainment/public assembly"": 3, ""Healthcare"": 1, ""Office"": 4, ""Other"": 1, ""Public services"": 3, ""Services"": 1, ""Utility"": 1}, ""shares"": {""Education"": 0.3, ""Entertainment/public assembly"": 0.15, ""Healthcare"": 0.05, ""Office"": 0.2, ""Other"": 0.05, ""Public services"": 0.15, ""Services"": 0.05, ""Utility"": 0.05}}","{""counts"": {""0"": 19, ""1"": 7, ""2"": 5, ""3"": 3}, ""shares"": {""0"": 0.95, ""1"": 0.35, ""2"": 0.25, ""3"": 0.15}}","{""0"": 0.5645819886302841, ""1"": 0.20272541825298482, ""2"": 0.1424182909528954, ""3"": 0.09027430216383574}","{""counts"": {""positive_high"": 8, ""positive_low"": 4, ""positive_mid"": 5, ""zero"": 3}, ""shares"": {""positive_high"": 0.4, ""positive_low"": 0.2, ""positive_mid"": 0.25, ""zero"": 0.15}}","{""counts"": {""0"": 3, ""1"": 10, ""2"": 3, ""3"": 4}, ""shares"": {""0"": 0.15, ""1"": 0.5, ""2"": 0.15, ""3"": 0.2}}","{""counts"": {""size_q1"": 4, ""size_q2"": 6, ""size_q3"": 4, ""size_q4"": 6}, ""shares"": {""size_q1"": 0.2, ""size_q2"": 0.3, ""size_q3"": 0.2, ""size_q4"": 0.3}}"
48,50,2,True,7cc9439fcee94144fab468a5e5c6250e8ad4ae6ef5d9141d32feaab6319f43e1,665357,75617,0.1136487629949035,"{""counts"": {""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}, ""shares"": {""0"": 0.08, ""1"": 0.04, ""10"": 0.02, ""12"": 0.02, ""13"": 0.1, ""14"": 0.08, ""15"": 0.08, ""2"": 0.1, ""3"": 0.18, ""4"": 0.06, ""5"": 0.06, ""6"": 0.04, ""7"": 0.02, ""8"": 0.04, ""9"": 0.08}}","{""counts"": {""Education"": 23, ""Entertainment/public assembly"": 7, ""Healthcare"": 1, ""Lodging/residential"": 4, ""Office"": 8, ""Other"": 1, ""Public services"": 4, ""Services"": 1, ""Utility"": 1}, ""shares"": {""Education"": 0.46, ""Entertainment/public assembly"": 0.14, ""Healthcare"": 0.02, ""Lodging/residential"": 0.08, ""Office"": 0.16, ""Other"": 0.02, ""Public services"": 0.08, ""Services"": 0.02, ""Utility"": 0.02}}","{""counts"": {""0"": 47, ""1"": 16, ""2"": 10, ""3"": 5}, ""shares"": {""0"": 0.94, ""1"": 0.32, ""2"": 0.2, ""3"": 0.1}}","{""0"": 0.6048527331943603, ""1"": 0.20310750469296934, ""2"": 0.12632767070910805, ""3"": 0.0657120914035623}","{""counts"": {""positive_high"": 19, ""positive_low"": 13, ""positive_mid"": 10, ""zero"": 8}, ""shares"": {""positive_high"": 0.38, ""positive_low"": 0.26, ""positive_mid"": 0.2, ""zero"": 0.16}}","{""counts"": {""0"": 8, ""1"": 26, ""2"": 8, ""3"": 8}, ""shares"": {""0"": 0.16, ""1"": 0.52, ""2"": 0.16, ""3"": 0.16}}","{""counts"": {""size_q1"": 15, ""size_q2"": 12, ""size_q3"": 12, ""size_q4"": 11}, ""shares"": {""size_q1"": 0.3, ""size_q2"": 0.24, ""size_q3"": 0.24, ""size_q4"": 0.22}}"
48,100,2,True,24b41b27a8f25d55392ff9d90aab9c62dc5d93101da77e64007fddbba75057a0,1392363,105416,0.0757101416800073,"{""counts"": {""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 8, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 9}, ""shares"": {""0"": 0.07, ""1"": 0.03, ""10"": 0.02, ""11"": 0.01, ""12"": 0.03, ""13"": 0.11, ""14"": 0.07, ""15"": 0.08, ""2"": 0.09, ""3"": 0.19, ""4"": 0.06, ""5"": 0.06, ""6"": 0.03, ""7"": 0.01, ""8"": 0.05, ""9"": 0.09}}","{""counts"": {""Education"": 45, ""Entertainment/public assembly"": 16, ""Healthcare"": 2, ""Lodging/residential"": 7, ""Manufacturing/industrial"": 1, ""Office"": 15, ""Other"": 1, ""Public services"": 10, ""Services"": 1, ""Utility"": 1, ""Warehouse/storage"": 1}, ""shares"": {""Education"": 0.45, ""Entertainment/public assembly"": 0.16, ""Healthcare"": 0.02, ""Lodging/residential"": 0.07, ""Manufacturing/industrial"": 0.01, ""Office"": 0.15, ""Other"": 0.01, ""Public services"": 0.1, ""Services"": 0.01, ""Utility"": 0.01, ""Warehouse/storage"": 0.01}}","{""counts"": {""0"": 97, ""1"": 32, ""2"": 24, ""3"": 10}, ""shares"": {""0"": 0.97, ""1"": 0.32, ""2"": 0.24, ""3"": 0.1}}","{""0"": 0.5992395661188928, ""1"": 0.1942625594044082, ""2"": 0.14582404157536505, ""3"": 0.06067383290133392}","{""counts"": {""positive_high"": 27, ""positive_low"": 31, ""positive_mid"": 23, ""zero"": 19}, ""shares"": {""positive_high"": 0.27, ""positive_low"": 0.31, ""positive_mid"": 0.23, ""zero"": 0.19}}","{""counts"": {""0"": 19, ""1"": 49, ""2"": 14, ""3"": 17, ""4"": 1}, ""shares"": {""0"": 0.19, ""1"": 0.49, ""2"": 0.14, ""3"": 0.17, ""4"": 0.01}}","{""counts"": {""size_q1"": 28, ""size_q2"": 25, ""size_q3"": 20, ""size_q4"": 27}, ""shares"": {""size_q1"": 0.28, ""size_q2"": 0.25, ""size_q3"": 0.2, ""size_q4"": 0.27}}"
49,10,8,True,b001db0800e3e3817aae9cbf739302e10ff84a9eb4420f654fc05c31ebbb4c41,163280,9829,0.060197207251347376,"{""counts"": {""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}, ""shares"": {""0"": 0.1, ""13"": 0.1, ""14"": 0.1, ""15"": 0.1, ""2"": 0.1, ""3"": 0.2, ""4"": 0.1, ""5"": 0.1, ""9"": 0.1}}","{""counts"": {""Education"": 2, ""Entertainment/public assembly"": 5, ""Lodging/residential"": 1, ""Office"": 2}, ""shares"": {""Education"": 0.2, ""Entertainment/public assembly"": 0.5, ""Lodging/residential"": 0.1, ""Office"": 0.2}}","{""counts"": {""0"": 10, ""1"": 4, ""2"": 3, ""3"": 2}, ""shares"": {""0"": 1.0, ""1"": 0.4, ""2"": 0.3, ""3"": 0.2}}","{""0"": 0.52406295933366, ""1"": 0.215078392944635, ""2"": 0.1532704556589907, ""3"": 0.10758819206271436}","{""counts"": {""positive_high"": 2, ""positive_low"": 1, ""positive_mid"": 4, ""zero"": 3}, ""shares"": {""positive_high"": 0.2, ""positive_low"": 0.1, ""positive_mid"": 0.4, ""zero"": 0.3}}","{""counts"": {""0"": 3, ""1"": 3, ""3"": 4}, ""shares"": {""0"": 0.3, ""1"": 0.3, ""3"": 0.4}}","{""counts"": {""size_q1"": 1, ""size_q2"": 3, ""size_q3"": 2, ""size_q4"": 4}, ""shares"": {""size_q1"": 0.1, ""size_q2"": 0.3, ""size_q3"": 0.2, ""size_q4"": 0.4}}"
49,20,8,True,e9adc177bf5f32cf35839b704745ab6541984b564eb9f2b1ae2e55b610981b6f,300640,13190,0.043873070782331026,"{""counts"": {""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}, ""shares"": {""0"": 0.05, ""1"": 0.05, ""12"": 0.05, ""13"": 0.1, ""14"": 0.05, ""15"": 0.1, ""2"": 0.1, ""3"": 0.2, ""4"": 0.05, ""5"": 0.05, ""6"": 0.05, ""8"": 0.05, ""9"": 0.1}}","{""counts"": {""Education"": 6, ""Entertainment/public assembly"": 8, ""Lodging/residential"": 3, ""Office"": 3}, ""shares"": {""Education"": 0.3, ""Entertainment/public assembly"": 0.4, ""Lodging/residential"": 0.15, ""Office"": 0.15}}","{""counts"": {""0"": 20, ""1"": 5, ""2"": 6, ""3"": 4}, ""shares"": {""0"": 1.0, ""1"": 0.25, ""2"": 0.3, ""3"": 0.2}}","{""0"": 0.5706991750931346, ""1"": 0.1459652740819585, ""2"": 0.16647485364555614, ""3"": 0.11686069717935071}","{""counts"": {""positive_high"": 4, ""positive_low"": 4, ""positive_mid"": 7, ""zero"": 5}, ""shares"": {""positive_high"": 0.2, ""positive_low"": 0.2, ""positive_mid"": 0.35, ""zero"": 0.25}}","{""counts"": {""0"": 5, ""1"": 9, ""2"": 1, ""3"": 5}, ""shares"": {""0"": 0.25, ""1"": 0.45, ""2"": 0.05, ""3"": 0.25}}","{""counts"": {""size_q1"": 5, ""size_q2"": 3, ""size_q3"": 7, ""size_q4"": 5}, ""shares"": {""size_q1"": 0.25, ""size_q2"": 0.15, ""size_q3"": 0.35, ""size_q4"": 0.25}}"
