building_seed,K,sampling_attempt,attempts_used,building_ids_json,site_counts_json,constraint_pass,reproducibility_digest,meter_0_source_buildings,meter_0_required_minimum,meter_0_constraint_pass,meter_1_source_buildings,meter_1_required_minimum,meter_1_constraint_pass,meter_2_source_buildings,meter_2_required_minimum,meter_2_constraint_pass,meter_3_source_buildings,meter_3_required_minimum,meter_3_constraint_pass
47,10,3,4,"[554, 1220, 210, 948, 1326, 88, 1302, 438, 712, 624]","{""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}",True,47209e4e196703d119017168df31b010ee47b5185709435fdc22c1c9ed7f8333,10,2,True,5,2,True,3,2,True,2,2,True
47,20,3,4,"[554, 1220, 210, 948, 1326, 88, 1302, 438, 712, 624, 864, 124, 496, 1184, 766, 284, 922, 1386, 300, 1048]","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}",True,b7c0e4ee7fd8ad6c0dbc3c6090945f49b5585c9feaf31207378c56a06646cdee,20,11,True,8,6,True,7,4,True,3,3,True
47,50,3,4,"[554, 1220, 210, 948, 1326, 88, 1302, 438, 712, 624, 864, 124, 496, 1184, 766, 284, 922, 1386, 300, 1048, 72, 1310, 1006, 1130, 378, 732, 572, 184, 946, 416, 1352, 820, 1218, 98, 458, 1266, 244, 790, 666, 358, 566, 972, 1350, 1190, 138, 550, 78, 198, 774, 1246]","{""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}",True,25d82605face7a351d5b26aed924de1a1019975d1e9accb7647955905b2a13e0,49,21,True,24,9,True,14,8,True,8,4,True
47,100,3,4,"[554, 1220, 210, 948, 1326, 88, 1302, 438, 712, 624, 864, 124, 496, 1184, 766, 284, 922, 1386, 300, 1048, 72, 1310, 1006, 1130, 378, 732, 572, 184, 946, 416, 1352, 820, 1218, 98, 458, 1266, 244, 790, 666, 358, 566, 972, 1350, 1190, 138, 550, 78, 198, 774, 1246, 310, 1110, 844, 934, 1336, 486, 680, 638, 226, 1066, 400, 1186, 92, 1244, 914, 1360, 362, 1018, 206, 1122, 108, 558, 658, 626, 830, 24, 974, 402, 1376, 1284, 1168, 254, 336, 748, 1028, 894, 1392, 532, 686, 588, 1116, 10, 200, 564, 1278, 872, 1034, 476, 1176, 940]","{""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 8, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 9}",True,8ef855794489ecd0a9ae8049084222eef19a222dd2e117281cbffabb230302c7,97,50,True,43,25,True,26,15,True,15,9,True
48,10,2,3,"[388, 1072, 192, 882, 1364, 42, 1262, 384, 616, 712]","{""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}",True,45b4147fc26501c19ae57ba8ce0556ddca404e04d42ad29903249b5d14973c1e,9,2,True,3,2,True,2,2,True,2,2,True
48,20,2,3,"[388, 1072, 192, 882, 1364, 42, 1262, 384, 616, 712, 834, 140, 454, 1218, 776, 200, 892, 1386, 492, 1046]","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}",True,9bae6dfd38036697fa4ad266c36cb0d43442e182c6b4b71556a878e4b5b69dec,19,10,True,7,4,True,5,3,True,3,3,True
48,50,2,3,"[388, 1072, 192, 882, 1364, 42, 1262, 384, 616, 712, 834, 140, 454, 1218, 776, 200, 892, 1386, 492, 1046, 16, 1324, 1014, 1132, 336, 626, 738, 180, 936, 354, 1422, 812, 1130, 30, 562, 1288, 280, 790, 620, 412, 688, 996, 1416, 1126, 114, 364, 64, 160, 746, 1226]","{""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}",True,7cc9439fcee94144fab468a5e5c6250e8ad4ae6ef5d9141d32feaab6319f43e1,47,20,True,16,8,True,10,6,True,5,4,True
48,100,2,3,"[388, 1072, 192, 882, 1364, 42, 1262, 384, 616, 712, 834, 140, 454, 1218, 776, 200, 892, 1386, 492, 1046, 16, 1324, 1014, 1132, 336, 626, 738, 180, 936, 354, 1422, 812, 1130, 30, 562, 1288, 280, 790, 620, 412, 688, 996, 1416, 1126, 114, 364, 64, 160, 746, 1226, 448, 1184, 856, 918, 1414, 550, 628, 736, 266, 1058, 418, 1206, 60, 1258, 966, 1340, 400, 1020, 164, 1090, 126, 440, 590, 674, 820, 54, 888, 552, 1378, 1286, 1196, 226, 514, 748, 1032, 928, 554, 1438, 652, 658, 1210, 66, 184, 322, 1302, 836, 1056, 540, 1178, 902]","{""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 8, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 9}",True,24b41b27a8f25d55392ff9d90aab9c62dc5d93101da77e64007fddbba75057a0,97,48,True,32,17,True,24,11,True,10,6,True
49,10,8,9,"[522, 1214, 284, 1392, 924, 2, 1324, 312, 726, 578]","{""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}",True,b001db0800e3e3817aae9cbf739302e10ff84a9eb4420f654fc05c31ebbb4c41,10,2,True,4,2,True,3,2,True,2,2,True
49,20,8,9,"[522, 1214, 284, 1392, 924, 2, 1324, 312, 726, 578, 846, 114, 476, 1190, 784, 232, 1406, 942, 352, 1066]","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}",True,e9adc177bf5f32cf35839b704745ab6541984b564eb9f2b1ae2e55b610981b6f,20,11,True,5,5,True,6,4,True,4,3,True
