building_seed,K,context_rows,anomalies,normals,anomaly_rate,full_anomalies,full_normals,observed_building_count,raw_index_sha256,selected_building_sha256,meter_composition_json
42,10,5000,2500,2500,0.5,5662,141626,10,29c85a571706a065b31e40dc9c0898e8f55eae145cc66888b1bb3d0fb191cbf8,b7ef075724ac3377788bb6fc1c48aa80c24a8bd4d052d4a68766a7219115524a,"{""0"":{""anomalies"":2038,""anomaly_rate"":0.5890173410404624,""rows"":3460},""1"":{""anomalies"":131,""anomaly_rate"":0.1949404761904762,""rows"":672},""2"":{""anomalies"":77,""anomaly_rate"":0.2086720867208672,""rows"":369},""3"":{""anomalies"":254,""anomaly_rate"":0.5090180360721442,""rows"":499}}"
42,20,10000,5000,5000,0.5,13392,271009,20,160a1971bdbf5572a68bd1d293fda82dd2cee435b888f617fd4bed2e238f4c22,61b1c3085303f9f6fc7f132bcd24b23a29dab8e6f006441d3c099e1a465755c4,"{""0"":{""anomalies"":2270,""anomaly_rate"":0.42493448146761514,""rows"":5342},""1"":{""anomalies"":2328,""anomaly_rate"":0.6924449732302201,""rows"":3362},""2"":{""anomalies"":148,""anomaly_rate"":0.24143556280587275,""rows"":613},""3"":{""anomalies"":254,""anomaly_rate"":0.3718887262079063,""rows"":683}}"
42,50,25000,12500,12500,0.5,36127,628254,50,7983487b4b373ae49c7e506e6b134f5ea518c2b2b2729435bd983687a9b1faa6,a32746bf4dc71ca6b7a3df6806052d0a1f70301c41dbd98a44edd5e3da6b4dcd,"{""0"":{""anomalies"":6590,""anomaly_rate"":0.46006702038536723,""rows"":14324},""1"":{""anomalies"":4093,""anomaly_rate"":0.6203394968172173,""rows"":6598},""2"":{""anomalies"":887,""anomaly_rate"":0.4059496567505721,""rows"":2185},""3"":{""anomalies"":930,""anomaly_rate"":0.49128367670364503,""rows"":1893}}"
42,100,50000,25000,25000,0.5,92304,1322152,100,cd9f7858501140e3c9e1a85e9fbe0f69652fa4a970ece92a8999a9e9fb722240,0c388f30d1d5c8e198ab68e67d67ea3edc2bf66eca541d06444ada532d226657,"{""0"":{""anomalies"":12821,""anomaly_rate"":0.46385672937771344,""rows"":27640},""1"":{""anomalies"":6599,""anomaly_rate"":0.5543514784946236,""rows"":11904},""2"":{""anomalies"":3757,""anomaly_rate"":0.5640294250112595,""rows"":6661},""3"":{""anomalies"":1823,""anomaly_rate"":0.480368906455863,""rows"":3795}}"
43,10,5000,2500,2500,0.5,8962,166354,10,da87182216eddb1c92b681c88fc1f98082c4a6029a17e42b8e61f85fe6410b5d,452bed9f8bbf9d5ed3e73a5538ef81b282f6f55c5bb2c2e37bc2b0c2f0d685f6,"{""0"":{""anomalies"":1303,""anomaly_rate"":0.5113814756671899,""rows"":2548},""1"":{""anomalies"":866,""anomaly_rate"":0.6321167883211679,""rows"":1370},""2"":{""anomalies"":266,""anomaly_rate"":0.3604336043360434,""rows"":738},""3"":{""anomalies"":65,""anomaly_rate"":0.18895348837209303,""rows"":344}}"
43,20,10000,5000,5000,0.5,10089,293908,20,4913e44cbea27e7cc8ca95b3965498f36da3a2005cc922ab4e2efc0b43d81ac6,edc3342004951da4b8ea176688d0ef96bc5dc767a73b3dd26b62b836a3280533,"{""0"":{""anomalies"":2433,""anomaly_rate"":0.45681562147953436,""rows"":5326},""1"":{""anomalies"":1679,""anomaly_rate"":0.6584313725490196,""rows"":2550},""2"":{""anomalies"":778,""anomaly_rate"":0.4958572339069471,""rows"":1569},""3"":{""anomalies"":110,""anomaly_rate"":0.1981981981981982,""rows"":555}}"
43,50,25000,12500,12500,0.5,57286,614413,50,2f423148a9d583a7be9b0eac2692e5721ee22e041c13f24fee4356e8fb4841f4,136bd7d7cb3a649f6ee8c95daf08b08a105b6b859c43191c348a5817d0aed43a,"{""0"":{""anomalies"":6598,""anomaly_rate"":0.4483250662499151,""rows"":14717},""1"":{""anomalies"":4604,""anomaly_rate"":0.7016153611703749,""rows"":6562},""2"":{""anomalies"":845,""anomaly_rate"":0.3782452999104745,""rows"":2234},""3"":{""anomalies"":453,""anomaly_rate"":0.304640215198386,""rows"":1487}}"
43,100,50000,25000,25000,0.5,100301,1284684,100,8af4917932019d6573dfd6bc381f7c4dd9599da3f0c73f222b72e30f3c39bac1,f35c0144fe61b153beaf947dbad1163cf7cdc007a31cf2746705002fefdf3728,"{""0"":{""anomalies"":12468,""anomaly_rate"":0.4399124973537506,""rows"":28342},""1"":{""anomalies"":9823,""anomaly_rate"":0.6721176873075607,""rows"":14615},""2"":{""anomalies"":1826,""anomaly_rate"":0.4040716972781589,""rows"":4519},""3"":{""anomalies"":883,""anomaly_rate"":0.3498415213946117,""rows"":2524}}"
44,10,5000,2500,2500,0.5,12596,140656,10,21511a30e551893a0c7d128b9a7692d1e1611ad6fad8007a4ea80dce7c72cd19,b7addce65d0a717e30edd8e0211766907853d6ee0f4bd51f292ee4e3c85e7e7d,"{""0"":{""anomalies"":788,""anomaly_rate"":0.3480565371024735,""rows"":2264},""1"":{""anomalies"":1525,""anomaly_rate"":0.7721518987341772,""rows"":1975},""2"":{""anomalies"":127,""anomaly_rate"":0.31435643564356436,""rows"":404},""3"":{""anomalies"":60,""anomaly_rate"":0.16806722689075632,""rows"":357}}"
44,20,10000,5000,5000,0.5,16139,274661,20,42a67dde0236e7efea76d1585e86f76887709c50d7525c465a7fdeab5fafec93,45e543d9060ada3f6fa4dadaefefb34ff4318c711ad013c651d83205f183a02c,"{""0"":{""anomalies"":1522,""anomaly_rate"":0.3354639629711263,""rows"":4537},""1"":{""anomalies"":2470,""anomaly_rate"":0.7211678832116788,""rows"":3425},""2"":{""anomalies"":910,""anomaly_rate"":0.6169491525423729,""rows"":1475},""3"":{""anomalies"":98,""anomaly_rate"":0.17406749555950266,""rows"":563}}"
44,50,25000,12500,12500,0.5,46592,618603,50,fae722f243cc9c7e5738c975611af50fe33d4e652c3860bdbd1589c448a133fd,97f4d28d2165eb4b0e80f4803152f6cfa762f05ef58066546bf84b9129d24186,"{""0"":{""anomalies"":6639,""anomaly_rate"":0.4491273170071709,""rows"":14782},""1"":{""anomalies"":4537,""anomaly_rate"":0.6642752562225476,""rows"":6830},""2"":{""anomalies"":1226,""anomaly_rate"":0.47208317289179824,""rows"":2597},""3"":{""anomalies"":98,""anomaly_rate"":0.12389380530973451,""rows"":791}}"
44,100,50000,25000,25000,0.5,84739,1266703,100,82c6fb9cdf61ed222cce3bf1439760d178eb4382be7c4e027095264f3cf601af,ff0158882216b8fd379f6b420690c1f0142c65d3a4ef5bee88c45d01111401fa,"{""0"":{""anomalies"":12392,""anomaly_rate"":0.4398225377107365,""rows"":28175},""1"":{""anomalies"":8319,""anomaly_rate"":0.6307050796057619,""rows"":13190},""2"":{""anomalies"":2635,""anomaly_rate"":0.4653832567997174,""rows"":5662},""3"":{""anomalies"":1654,""anomaly_rate"":0.5563403969054826,""rows"":2973}}"
45,10,5000,2500,2500,0.5,15773,155676,10,d83d1fc497ed5a256a5b916d98ea77fd5d85acd6a7702aab0d57c38be781f4fc,4bb2103ece4a87c0e661711d8c981fd15537bfd0df8ca8428840cd128dcd30cb,"{""0"":{""anomalies"":997,""anomaly_rate"":0.4331016507384883,""rows"":2302},""1"":{""anomalies"":605,""anomaly_rate"":0.48711755233494364,""rows"":1242},""2"":{""anomalies"":145,""anomaly_rate"":0.2894211576846307,""rows"":501},""3"":{""anomalies"":753,""anomaly_rate"":0.7884816753926701,""rows"":955}}"
45,20,10000,5000,5000,0.5,17455,263753,20,690e6447708cf7bc19647793df4d6e2fede7e747b3894de983e23f3bd58b4fef,c219835b15a4310fa883debfc4714528d92192ae65734f438910655a4fa1881b,"{""0"":{""anomalies"":1908,""anomaly_rate"":0.39243109831345124,""rows"":4862},""1"":{""anomalies"":1448,""anomaly_rate"":0.5819935691318328,""rows"":2488},""2"":{""anomalies"":275,""anomaly_rate"":0.3186558516801854,""rows"":863},""3"":{""anomalies"":1369,""anomaly_rate"":0.7660884163402351,""rows"":1787}}"
45,50,25000,12500,12500,0.5,43683,638050,50,d097566e6f947b12640cad955ba52a8da27ac21430b042027f9cbc6da5d1d330,af2992d71aa6f0057f2d7bf813689158a56f70467a30592fb4e29ff8002fa427,"{""0"":{""anomalies"":5669,""anomaly_rate"":0.4216437337300112,""rows"":13445},""1"":{""anomalies"":4474,""anomaly_rate"":0.6365964712578258,""rows"":7028},""2"":{""anomalies"":365,""anomaly_rate"":0.22392638036809817,""rows"":1630},""3"":{""anomalies"":1992,""anomaly_rate"":0.6876078702105627,""rows"":2897}}"
45,100,50000,25000,25000,0.5,99863,1351995,100,948544bb1ca6348226dd305961ad98157848315a90b9edd5ac30f7704641613c,545cc2c5e722e12da72092a7bd0d85f7c84c9ec833c2560a009aaf1f0d1c30ff,"{""0"":{""anomalies"":10566,""anomaly_rate"":0.4137525942749736,""rows"":25537},""1"":{""anomalies"":8795,""anomaly_rate"":0.6344225636586598,""rows"":13863},""2"":{""anomalies"":2464,""anomaly_rate"":0.4536917694715522,""rows"":5431},""3"":{""anomalies"":3175,""anomaly_rate"":0.6142387308957246,""rows"":5169}}"
46,10,5000,2500,2500,0.5,5952,156427,10,7e712babbd0fb1cd27e0fab88992697ce0d8eb437bc667eba50d3cdcb18ece83,ead42107d41ec80563dbbe0782a093e128fdcf89e2f7e677fa49d4bf74608814,"{""0"":{""anomalies"":1768,""anomaly_rate"":0.5785340314136126,""rows"":3056},""1"":{""anomalies"":495,""anomaly_rate"":0.4248927038626609,""rows"":1165},""2"":{""anomalies"":87,""anomaly_rate"":0.24033149171270718,""rows"":362},""3"":{""anomalies"":150,""anomaly_rate"":0.3597122302158273,""rows"":417}}"
46,20,10000,5000,5000,0.5,16934,292989,20,88ef0dce733854e9ac2046a931283419e3719b21f5ada66d14ea1cd6afdd4aae,f5573ea471fb621577ece6bd8d4b21de4a8f379547b42b420c0af83a10f7c5ab,"{""0"":{""anomalies"":2484,""anomaly_rate"":0.47251284002282673,""rows"":5257},""1"":{""anomalies"":590,""anomaly_rate"":0.37177063642091995,""rows"":1587},""2"":{""anomalies"":1761,""anomaly_rate"":0.7383647798742138,""rows"":2385},""3"":{""anomalies"":165,""anomaly_rate"":0.2140077821011673,""rows"":771}}"
46,50,25000,12500,12500,0.5,67748,691870,50,511dffc7078317413b2aef89a0bef6efdb73659cb217569dd3a6b33ce82d3213,3f16604a96a428723a2a811b0ed1c91c99679fc86cdf80c46810f4884dea11ef,"{""0"":{""anomalies"":6386,""anomaly_rate"":0.4828733459357278,""rows"":13225},""1"":{""anomalies"":3663,""anomaly_rate"":0.5739580068943905,""rows"":6382},""2"":{""anomalies"":1870,""anomaly_rate"":0.5393712143063167,""rows"":3467},""3"":{""anomalies"":581,""anomaly_rate"":0.3016614745586708,""rows"":1926}}"
46,100,50000,25000,25000,0.5,103500,1310974,100,b4d6683a70f3a88eb384da35858a6641522d1aa0e9dff4812105d526313a0109,35c694a38f83e37dce51b48dfab07271b20b971273fa3f0b7bdfaaa60293e0d0,"{""0"":{""anomalies"":12419,""anomaly_rate"":0.45807974622846814,""rows"":27111},""1"":{""anomalies"":9284,""anomaly_rate"":0.6475552765571598,""rows"":14337},""2"":{""anomalies"":2454,""anomaly_rate"":0.4109864344330933,""rows"":5971},""3"":{""anomalies"":843,""anomaly_rate"":0.3266175900813638,""rows"":2581}}"
47,10,5000,2500,2500,0.5,11087,160469,10,3dcee15705d899dfb35aa78f5a217e4de9c5d131b77ee71fbfd17eb53dc4bfa5,47209e4e196703d119017168df31b010ee47b5185709435fdc22c1c9ed7f8333,"{""0"":{""anomalies"":1074,""anomaly_rate"":0.4539306846999155,""rows"":2366},""1"":{""anomalies"":224,""anomaly_rate"":0.26198830409356727,""rows"":855},""2"":{""anomalies"":149,""anomaly_rate"":0.2754158964879852,""rows"":541},""3"":{""anomalies"":1053,""anomaly_rate"":0.8505654281098546,""rows"":1238}}"
