building_seed,K,building_id,selected_rows,selected_anomalies,selected_normals,selected_anomaly_rate
42,10,428,139,0,139,0.0
42,10,1110,160,11,149,0.06875
42,10,202,576,102,474,0.17708333333333334
42,10,1336,449,53,396,0.11804008908685969
42,10,930,266,110,156,0.41353383458646614
42,10,28,1671,1497,174,0.895870736086176
42,10,1258,1215,675,540,0.5555555555555556
42,10,378,151,0,151,0.0
42,10,580,148,0,148,0.0
42,10,674,225,52,173,0.2311111111111111
42,20,428,148,0,148,0.0
42,20,1110,169,11,158,0.0650887573964497
42,20,202,599,102,497,0.17028380634390652
42,20,1336,465,53,412,0.11397849462365592
42,20,930,273,110,163,0.40293040293040294
42,20,28,1681,1497,184,0.8905413444378346
42,20,1258,1258,675,583,0.5365659777424483
42,20,378,155,0,155,0.0
42,20,580,158,0,158,0.0
42,20,674,231,52,179,0.22510822510822512
42,20,810,145,0,145,0.0
42,20,146,158,2,156,0.012658227848101266
42,20,408,172,0,172,0.0
42,20,1130,2318,2120,198,0.91458153580673
42,20,768,167,0,167,0.0
42,20,224,509,19,490,0.03732809430255403
42,20,1380,265,3,262,0.011320754716981131
42,20,942,678,229,449,0.33775811209439527
42,20,496,172,0,172,0.0
42,20,1066,279,127,152,0.4551971326164875
42,50,428,164,0,164,0.0
42,50,1110,179,11,168,0.061452513966480445
42,50,202,628,102,526,0.1624203821656051
42,50,1336,493,53,440,0.1075050709939148
42,50,930,282,110,172,0.3900709219858156
42,50,28,1695,1497,198,0.8831858407079646
42,50,1258,1291,675,616,0.52285050348567
42,50,378,166,0,166,0.0
42,50,580,165,0,165,0.0
42,50,674,242,52,190,0.21487603305785125
42,50,810,153,0,153,0.0
42,50,146,175,2,173,0.011428571428571429
42,50,408,182,0,182,0.0
42,50,1130,2397,2186,211,0.9119732999582811
42,50,768,173,0,173,0.0
42,50,224,533,21,512,0.039399624765478425
42,50,1380,277,3,274,0.010830324909747292
42,50,942,712,237,475,0.33286516853932585
42,50,496,181,0,181,0.0
42,50,1066,292,132,160,0.4520547945205479
42,50,30,1345,1091,254,0.8111524163568773
42,50,1282,245,64,181,0.2612244897959184
42,50,1024,65,12,53,0.18461538461538463
42,50,1214,532,3,529,0.005639097744360902
42,50,400,163,0,163,0.0
42,50,578,181,0,181,0.0
42,50,682,165,0,165,0.0
42,50,274,174,0,174,0.0
42,50,1330,141,0,141,0.0
42,50,546,162,0,162,0.0
42,50,904,571,418,153,0.7320490367775832
42,50,804,299,150,149,0.5016722408026756
42,50,1182,202,1,201,0.0049504950495049506
42,50,78,1350,1107,243,0.82
42,50,520,182,0,182,0.0
42,50,1228,1104,563,541,0.509963768115942
42,50,268,488,100,388,0.20491803278688525
42,50,790,355,37,318,0.10422535211267606
42,50,634,153,0,153,0.0
42,50,336,200,1,199,0.005
42,50,704,229,27,202,0.11790393013100436
42,50,1432,134,1,133,0.007462686567164179
42,50,940,260,89,171,0.3423076923076923
42,50,1190,182,3,179,0.016483516483516484
42,50,132,190,3,187,0.015789473684210527
42,50,502,158,0,158,0.0
42,50,6,1245,1143,102,0.9180722891566265
42,50,190,912,427,485,0.4682017543859649
42,50,776,962,481,481,0.5
42,50,1232,2271,1698,573,0.7476882430647291
42,100,428,164,0,164,0.0
42,100,1110,179,11,168,0.061452513966480445
42,100,202,628,102,526,0.1624203821656051
42,100,1336,493,53,440,0.1075050709939148
42,100,930,282,110,172,0.3900709219858156
42,100,28,1695,1497,198,0.8831858407079646
42,100,1258,1291,675,616,0.52285050348567
42,100,378,166,0,166,0.0
42,100,580,165,0,165,0.0
42,100,674,242,52,190,0.21487603305785125
42,100,810,153,0,153,0.0
42,100,146,175,2,173,0.011428571428571429
42,100,408,182,0,182,0.0
42,100,1130,2397,2186,211,0.9119732999582811
42,100,768,173,0,173,0.0
42,100,224,533,21,512,0.039399624765478425
42,100,1380,277,3,274,0.010830324909747292
42,100,942,712,237,475,0.33286516853932585
42,100,496,181,0,181,0.0
42,100,1066,292,132,160,0.4520547945205479
42,100,30,1345,1091,254,0.8111524163568773
42,100,1282,245,64,181,0.2612244897959184
42,100,1024,65,12,53,0.18461538461538463
42,100,1214,532,3,529,0.005639097744360902
42,100,400,163,0,163,0.0
42,100,578,181,0,181,0.0
42,100,682,165,0,165,0.0
42,100,274,174,0,174,0.0
42,100,1330,141,0,141,0.0
42,100,546,162,0,162,0.0
42,100,904,571,418,153,0.7320490367775832
42,100,804,299,150,149,0.5016722408026756
42,100,1182,202,1,201,0.0049504950495049506
42,100,78,1350,1107,243,0.82
42,100,520,182,0,182,0.0
42,100,1228,1104,563,541,0.509963768115942
42,100,268,488,100,388,0.20491803278688525
42,100,790,355,37,318,0.10422535211267606
42,100,634,153,0,153,0.0
42,100,336,200,1,199,0.005
42,100,704,229,27,202,0.11790393013100436
42,100,1432,134,1,133,0.007462686567164179
42,100,940,260,89,171,0.3423076923076923
42,100,1190,182,3,179,0.016483516483516484
42,100,132,190,3,187,0.015789473684210527
42,100,502,158,0,158,0.0
42,100,6,1245,1143,102,0.9180722891566265
42,100,190,912,427,485,0.4682017543859649
42,100,776,962,481,481,0.5
42,100,1232,2271,1698,573,0.7476882430647291
42,100,540,154,0,154,0.0
42,100,1168,472,11,461,0.023305084745762712
42,100,872,197,70,127,0.3553299492385787
42,100,1360,298,27,271,0.09060402684563758
42,100,944,207,61,146,0.2946859903381642
42,100,358,148,0,148,0.0
42,100,648,152,0,152,0.0
42,100,716,176,16,160,0.09090909090909091
42,100,234,518,0,518,0.0
42,100,1058,149,1,148,0.006711409395973154
42,100,440,154,1,153,0.006493506493506494
42,100,1128,220,57,163,0.2590909090909091
42,100,84,853,762,91,0.8933177022274326
42,100,1250,2423,2099,324,0.8662814692529922
42,100,1346,261,0,261,0.0
42,100,996,693,243,450,0.35064935064935066
42,100,320,167,1,166,0.005988023952095809
42,100,1022,2220,1928,292,0.8684684684684685
42,100,216,1250,822,428,0.6576
42,100,1092,440,2,438,0.004545454545454545
42,100,112,1487,1261,226,0.8480161398789509
42,100,394,153,1,152,0.006535947712418301
42,100,644,153,0,153,0.0
42,100,700,192,21,171,0.109375
42,100,820,199,45,154,0.22613065326633167
42,100,98,1141,960,181,0.8413672217353199
42,100,1374,149,9,140,0.06040268456375839
42,100,402,156,0,156,0.0
42,100,972,1239,813,426,0.6561743341404358
42,100,1224,556,85,471,0.1528776978417266
42,100,1156,477,3,474,0.006289308176100629
42,100,232,352,6,346,0.017045454545454544
42,100,308,161,0,161,0.0
42,100,748,324,30,294,0.09259259259259259
42,100,1032,445,1,444,0.0022471910112359553
42,100,1328,240,2,238,0.008333333333333333
42,100,382,162,0,162,0.0
42,100,956,659,197,462,0.29893778452200304
42,100,586,144,0,144,0.0
42,100,740,1958,1958,0,1.0
42,100,1146,314,2,312,0.006369426751592357
42,100,80,807,717,90,0.8884758364312267
42,100,158,161,0,161,0.0
42,100,430,154,6,148,0.03896103896103896
42,100,1286,582,132,450,0.2268041237113402
42,100,866,206,61,145,0.2961165048543689
42,100,1036,141,1,140,0.0070921985815602835
42,100,368,165,0,165,0.0
42,100,1094,562,88,474,0.15658362989323843
42,100,1358,409,0,409,0.0
43,10,416,133,0,133,0.0
43,10,1200,242,0,242,0.0
43,10,240,520,107,413,0.20576923076923076
43,10,880,952,559,393,0.5871848739495799
43,10,1390,259,0,259,0.0
43,10,92,1128,940,188,0.8333333333333334
43,10,1294,1344,869,475,0.6465773809523809
43,10,556,130,3,127,0.023076923076923078
43,10,616,122,0,122,0.0
43,10,696,170,22,148,0.12941176470588237
43,20,416,146,0,146,0.0
43,20,1200,294,6,288,0.02040816326530612
43,20,240,637,185,452,0.2904238618524333
43,20,880,1461,1014,447,0.6940451745379876
43,20,1390,298,0,298,0.0
43,20,92,1871,1658,213,0.8861571352218065
43,20,1294,2078,1536,542,0.739172281039461
43,20,556,166,8,158,0.04819277108433735
43,20,616,141,0,141,0.0
43,20,696,206,36,170,0.17475728155339806
43,20,846,147,0,147,0.0
43,20,132,159,3,156,0.018867924528301886
43,20,432,157,5,152,0.03184713375796178
43,20,1110,155,15,140,0.0967741935483871
43,20,788,156,0,156,0.0
43,20,210,440,13,427,0.029545454545454545
43,20,996,941,521,420,0.5536663124335813
43,20,1442,254,0,254,0.0
43,20,438,159,0,159,0.0
43,20,1054,134,0,134,0.0
43,50,416,176,0,176,0.0
43,50,1200,347,6,341,0.01729106628242075
43,50,240,718,185,533,0.2576601671309192
43,50,880,1555,1014,541,0.6520900321543408
43,50,1390,362,0,362,0.0
43,50,92,1919,1658,261,0.8639916623241272
43,50,1294,2181,1536,645,0.7042640990371389
43,50,556,202,8,194,0.039603960396039604
43,50,616,170,0,170,0.0
43,50,696,233,36,197,0.15450643776824036
43,50,846,176,0,176,0.0
43,50,132,190,3,187,0.015789473684210527
43,50,432,182,5,177,0.027472527472527472
43,50,1110,183,15,168,0.08196721311475409
43,50,788,177,0,177,0.0
43,50,210,520,13,507,0.025
43,50,996,1026,521,505,0.5077972709551657
43,50,1442,303,0,303,0.0
43,50,438,182,0,182,0.0
43,50,1054,161,0,161,0.0
43,50,38,632,519,113,0.8212025316455697
43,50,1300,762,269,493,0.3530183727034121
43,50,1010,217,20,197,0.09216589861751152
43,50,1134,139,3,136,0.02158273381294964
43,50,440,173,1,172,0.005780346820809248
43,50,590,688,587,101,0.8531976744186046
43,50,740,1403,1403,0,1.0
43,50,278,221,42,179,0.19004524886877827
43,50,352,172,0,172,0.0
43,50,982,218,42,176,0.1926605504587156
43,50,1420,328,13,315,0.039634146341463415
43,50,814,190,37,153,0.19473684210526315
43,50,1144,820,517,303,0.6304878048780488
43,50,68,612,507,105,0.8284313725490197
43,50,314,227,55,172,0.2422907488986784
43,50,1266,634,87,547,0.13722397476340695
43,50,274,175,0,175,0.0
43,50,800,1281,880,401,0.6869633099141296
43,50,574,151,0,151,0.0
43,50,334,160,0,160,0.0
43,50,678,226,67,159,0.29646017699115046
43,50,892,232,55,177,0.23706896551724138
43,50,1402,282,5,277,0.01773049645390071
43,50,1190,181,0,181,0.0
43,50,124,186,8,178,0.043010752688172046
43,50,550,193,0,193,0.0
43,50,26,666,562,104,0.8438438438438438
43,50,174,378,3,375,0.007936507936507936
43,50,778,1395,1192,203,0.8544802867383513
43,50,1268,1095,626,469,0.5716894977168949
43,100,416,176,0,176,0.0
43,100,1200,347,6,341,0.01729106628242075
43,100,240,718,185,533,0.2576601671309192
43,100,880,1555,1014,541,0.6520900321543408
43,100,1390,362,0,362,0.0
43,100,92,1919,1658,261,0.8639916623241272
43,100,1294,2181,1536,645,0.7042640990371389
43,100,556,202,8,194,0.039603960396039604
43,100,616,170,0,170,0.0
43,100,696,233,36,197,0.15450643776824036
43,100,846,176,0,176,0.0
43,100,132,190,3,187,0.015789473684210527
43,100,432,182,5,177,0.027472527472527472
43,100,1110,183,15,168,0.08196721311475409
43,100,788,177,0,177,0.0
43,100,210,520,13,507,0.025
43,100,996,1026,521,505,0.5077972709551657
43,100,1442,303,0,303,0.0
43,100,438,182,0,182,0.0
43,100,1054,161,0,161,0.0
43,100,38,860,747,113,0.8686046511627907
43,100,1300,855,362,493,0.4233918128654971
43,100,1010,227,30,197,0.13215859030837004
43,100,1134,140,4,136,0.02857142857142857
43,100,440,173,1,172,0.005780346820809248
43,100,590,934,833,101,0.8918629550321199
43,100,740,1969,1969,0,1.0
43,100,278,242,63,179,0.2603305785123967
43,100,352,172,0,172,0.0
43,100,982,232,56,176,0.2413793103448276
43,100,1420,336,21,315,0.0625
43,100,814,198,45,153,0.22727272727272727
43,100,1144,1027,724,303,0.7049659201557936
43,100,68,822,717,105,0.8722627737226277
43,100,314,245,73,172,0.2979591836734694
43,100,1266,670,123,547,0.18358208955223881
43,100,274,175,0,175,0.0
43,100,800,1639,1238,401,0.7553386211104332
43,100,574,151,0,151,0.0
43,100,334,160,0,160,0.0
43,100,678,257,98,159,0.38132295719844356
43,100,892,260,83,177,0.3192307692307692
43,100,1402,290,13,277,0.04482758620689655
43,100,1190,184,3,181,0.016304347826086956
43,100,124,191,13,178,0.06806282722513089
43,100,550,193,0,193,0.0
43,100,26,872,768,104,0.8807339449541285
43,100,174,379,4,375,0.010554089709762533
43,100,778,1831,1628,203,0.8891316220644456
43,100,1268,1383,914,469,0.660882140274765
43,100,368,175,0,175,0.0
43,100,1098,924,477,447,0.5162337662337663
43,100,856,383,231,152,0.6031331592689295
43,100,970,228,73,155,0.3201754385964912
43,100,1410,302,16,286,0.052980132450331126
43,100,428,146,0,146,0.0
43,100,650,160,0,160,0.0
43,100,690,177,16,161,0.0903954802259887
43,100,220,566,57,509,0.10070671378091872
43,100,1036,150,1,149,0.006666666666666667
43,100,414,146,0,146,0.0
43,100,1082,199,35,164,0.17587939698492464
43,100,0,866,763,103,0.8810623556581986
43,100,1284,615,141,474,0.22926829268292684
43,100,896,669,142,527,0.21225710014947682
43,100,1444,142,2,140,0.014084507042253521
43,100,494,181,3,178,0.016574585635359115
43,100,1022,2260,1951,309,0.8632743362831858
43,100,160,157,0,157,0.0
43,100,1146,339,2,337,0.0058997050147492625
43,100,130,164,0,164,0.0
43,100,346,173,0,173,0.0
43,100,570,156,0,156,0.0
43,100,720,170,8,162,0.047058823529411764
43,100,804,250,113,137,0.452
43,100,96,959,740,219,0.7716371220020855
43,100,886,1458,1049,409,0.7194787379972565
43,100,486,163,6,157,0.03680981595092025
43,100,1440,119,0,119,0.0
43,100,1288,688,262,426,0.3808139534883721
43,100,1070,351,2,349,0.005698005698005698
43,100,238,390,90,300,0.23076923076923078
43,100,444,162,0,162,0.0
43,100,756,171,1,170,0.005847953216374269
43,100,1030,521,45,476,0.08637236084452975
43,100,932,1009,584,425,0.578790882061447
43,100,388,168,0,168,0.0
43,100,1348,428,16,412,0.037383177570093455
43,100,614,153,0,153,0.0
43,100,682,155,0,155,0.0
43,100,1206,483,25,458,0.051759834368530024
43,100,52,835,732,103,0.8766467065868263
43,100,290,540,235,305,0.4351851851851852
43,100,324,162,0,162,0.0
43,100,1272,1629,1237,392,0.7593615715162676
43,100,864,269,115,154,0.4275092936802974
43,100,1046,168,0,168,0.0
43,100,478,169,0,169,0.0
43,100,1208,458,130,328,0.2838427947598253
43,100,916,664,170,494,0.2560240963855422
44,10,514,158,0,158,0.0
44,10,1166,164,0,164,0.0
44,10,192,1534,1187,347,0.7737940026075619
44,10,1350,746,380,366,0.5093833780160858
