building_seed,row_seed,role_seed,model_seed,position,building_id,site_id,sampling_attempt,site_draw_rank,site_candidate_count,site_tie_priority,tree_role,rows,anomalies,anomaly_rate,meter_0_rows,meter_0_anomalies,meter_0_present,meter_0_row_share,meter_0_anomaly_rate,meter_1_rows,meter_1_anomalies,meter_1_present,meter_1_row_share,meter_1_anomaly_rate,meter_2_rows,meter_2_anomalies,meter_2_present,meter_2_row_share,meter_2_anomaly_rate,meter_3_rows,meter_3_anomalies,meter_3_present,meter_3_row_share,meter_3_anomaly_rate,meter_count,anomaly_meter_count,zero_anomaly,anomaly_bin,size_bin,primary_use,meter_presence,first_included_K
46,42,,42,1,300,3,22,1,137,13,fit,8637,1,0.0001157809424568,8637,1,1,1.0,0.0001157809424568,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q1,Education,0,10
46,42,,42,2,1146,13,22,1,77,12,fit,17568,6,0.0003415300546448,8784,3,1,0.5,0.0003415300546448,8784,3,1,0.5,0.0003415300546448,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,2,0,positive_low,size_q4,Public services,"0,1",10
46,42,,42,3,220,2,22,1,68,2,fit,26348,212,0.008046151510551,8782,54,1,0.3333080309700926,0.0061489410157139,8784,5,1,0.3333839380598148,0.0005692167577413,0,0,0,0.0,0.0,8782,153,1,0.3333080309700926,0.0174219995445228,3,3,0,positive_mid,size_q4,Education,"0,1,3",10
46,42,,42,4,920,9,22,1,62,11,fit,26325,703,0.02670465337132,8765,240,1,0.3329534662867996,0.0273816314888762,8779,244,1,0.3334852801519468,0.027793598359722,8781,219,1,0.3335612535612535,0.0249402118209771,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Education,"0,1,2",10
46,42,,42,5,1358,15,22,1,62,15,early_stop,22254,0,0.0,7467,0,1,0.3355351846858991,0.0,7331,0,1,0.3294239237889818,0.0,7456,0,1,0.335040891525119,0.0,0,0,0,0.0,0.0,3,0,1,zero,size_q4,Lodging/residential,"0,1,2",10
46,42,,42,6,38,0,22,1,53,10,fit,8784,3378,0.3845628415300546,8784,3378,1,1.0,0.3845628415300546,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_high,size_q2,Office,0,10
46,42,,42,7,1318,14,22,1,51,6,fit,26138,1313,0.0502333766929374,8570,174,1,0.3278751243400413,0.0203033838973162,8784,944,1,0.3360624378299793,0.1074681238615664,0,0,0,0.0,0.0,8784,195,1,0.3360624378299793,0.0221994535519125,3,3,0,positive_high,size_q4,Entertainment/public assembly,"0,1,3",10
46,42,,42,8,498,3,22,2,137,13,fit,8758,0,0.0,8758,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Entertainment/public assembly,0,10
46,42,,42,9,732,5,22,1,45,7,fit,8784,339,0.0385928961748633,8784,339,1,1.0,0.0385928961748633,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_mid,size_q3,Education,0,10
46,42,,42,10,584,4,22,1,45,8,early_stop,8783,0,0.0,8783,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q2,Education,0,10
46,42,,42,11,826,8,22,1,35,4,fit,8447,984,0.1164910619154729,8447,984,1,1.0,0.1164910619154729,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_high,size_q1,Public services,0,20
46,42,,42,12,114,1,22,1,25,3,fit,17568,1902,0.1082650273224043,8784,1858,1,0.5,0.2115209471766848,0,0,0,0.0,0.0,0,0,0,0.0,0.0,8784,44,1,0.5,0.0050091074681238,2,2,0,positive_high,size_q3,Education,"0,3",20
46,42,,42,13,334,3,22,3,137,13,fit,8758,0,0.0,8758,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Education,0,20
46,42,,42,14,1080,13,22,2,77,12,fit,26306,200,0.0076028282521097,8738,8,1,0.3321675663346765,0.0009155413138017,8784,189,1,0.3339162168326617,0.0215163934426229,8784,3,1,0.3339162168326617,0.0003415300546448,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Education,"0,1,2",20
46,42,,42,15,758,6,22,1,22,9,early_stop,17557,7190,0.4095232670729623,8775,5,1,0.4998006493136641,0.0005698005698005,0,0,0,0.0,0.0,8782,7185,1,0.5001993506863359,0.8181507629241631,0,0,0,0.0,0.0,2,2,0,positive_high,size_q3,Lodging/residential,"0,2",20
46,42,,42,16,232,2,22,2,68,2,fit,17564,20,0.0011386927806877,8782,20,1,0.5,0.0022773855613755,0,0,0,0.0,0.0,0,0,0,0.0,0.0,8782,0,1,0.5,0.0,2,1,0,positive_low,size_q3,Entertainment/public assembly,"0,3",20
46,42,,42,17,890,9,22,2,62,11,fit,26306,684,0.0260016726222154,8764,238,1,0.3331559340074507,0.0271565495207667,8769,206,1,0.3333460047137535,0.0234918462766564,8773,240,1,0.3334980612787957,0.0273566624871765,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Education,"0,1,2",20
46,42,,42,18,1340,15,22,2,62,15,fit,7472,0,0.0,7472,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Manufacturing/industrial,0,20
46,42,,42,19,466,3,22,4,137,13,fit,8782,0,0.0,8782,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q2,Public services,0,20
46,42,,42,20,1036,12,22,1,18,0,early_stop,8784,2,0.0002276867030965,8784,2,1,1.0,0.0002276867030965,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q3,Office,0,20
46,42,,42,21,100,0,22,2,53,10,fit,8784,3378,0.3845628415300546,8784,3378,1,1.0,0.3845628415300546,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_high,size_q2,Lodging/residential,0,50
46,42,,42,22,1310,14,22,2,51,6,fit,26352,971,0.0368472981177899,8784,281,1,0.3333333333333333,0.0319899817850637,8784,562,1,0.3333333333333333,0.0639799635701275,8784,128,1,0.3333333333333333,0.0145719489981785,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Lodging/residential,"0,1,2",50
46,42,,42,23,1016,10,22,1,15,1,fit,8773,39,0.0044454576541661,8773,39,1,1.0,0.0044454576541661,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_mid,size_q1,Other,0,50
46,42,,42,24,1218,13,22,3,77,12,fit,26351,63,0.0023908011081173,8783,3,1,0.3333080338507077,0.0003415689399977,8784,3,1,0.3333459830746461,0.0003415300546448,8784,57,1,0.3333459830746461,0.0064890710382513,0,0,0,0.0,0.0,3,3,0,positive_low,size_q4,Entertainment/public assembly,"0,1,2",50
46,42,,42,25,550,3,22,5,137,13,early_stop,8758,0,0.0,8758,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Public services,0,50
