building_seed,K,full_rows,full_anomalies,full_normals,selected_building_sha256
0,50,665839,52329,613510,ef919895b51bfdfcf00f11fbeb81669c1b7926dfc0c9b7868028503007ca6611
0,100,1352935,97474,1255461,9538484e81cc6c701587fbacb77d1cc86e02c3c5afb75ec0c8031261a603aa5c
0,200,2779277,199020,2580257,0046c817ab805be5fa51960066436126e17276528ce70753fdae98aa05fe0c7e
0,300,4198783,313271,3885512,68eb8f50fbea19eaeda3cc2c0cc743ac79902de0f277c127b5b81ed4cc3946ab
0,400,5716426,414296,5302130,cd139267acf57a37d09594c2d51fc394831bd2a3b47af015a62fc12bc75fdd96
1,50,686227,38364,647863,b5d14730905960b9d09274746f37b86e2f7bcdc9628feaae2a9fe83cee4c0d62
1,100,1348267,88436,1259831,06783946a4decdb805d6041b3292b0326ec26c20aa9b1520083b1952157ab673
1,200,2813994,194498,2619496,d7c639f54896d1d73d2319bf950467527d69a6f93ec23e3f2aa14e95ee4914ca
1,300,4245112,300261,3944851,5b2f08a266b32c9b150a0de23477825c2d15b356d655ad57fef564e340fa8f34
1,400,5658122,389999,5268123,7bf375ed971c2715ef4c6b8936b896549d02b44eeb365642b8692f1898562e28
2,50,805453,55464,749989,ad794423a20e05d714a3e19bdf1291630cc935e770806101636e67e1b000e31d
2,100,1552776,106229,1446547,7a6a6ab3ccb28fa94521bb9f2adf86bdab2bc3494dbb3bfe3ebbf5316c6725b7
2,200,2941001,212589,2728412,552dc26476d98bd4efe930b75b57947af6214775c35cd047aa8a24603d897fd5
2,300,4223310,310765,3912545,8fdbf32eb25ca1f9e6b8850dff2a2d9c77951b3bede0c571de0c56834ca555ff
2,400,5694058,385381,5308677,70a158b83b699b67283a2a6f5330bb3d2a721b3b8ec40cee884572203bd72daf
3,50,638660,35840,602820,66f211bd2989d1786ca30a7db312b4d29e418d954b9b154079fd5839360062f8
3,100,1337727,68124,1269603,a34d66f31951008479bc5bf1922323e9b984a80feb90578dec7498314b1d273d
3,200,2646318,141172,2505146,36f179caaa0af95b10cc2506641d85fa13cfffb48008dc5429717a633f9969a7
3,300,3973020,255949,3717071,993f2a850eae75c149b1e8f222ba9baeaece6f83e8926571bfa425c3683c6923
3,400,5409527,366677,5042850,1404c8af6a49b17b0686e32165cd55643bd1cf9aaf09c5ba800bcd66d1883200
4,50,651293,66886,584407,b71a71b58f5848d64c18c57c7146b4cf66237648011cff61f95a0397ebcea28d
4,100,1339646,98627,1241019,c71755dc4cb8c3f4ce4bc237d8fa72fc799d9cc2e8792253443a366c11d0c5c2
4,200,2684896,163832,2521064,dfb9965913c2c1ada7d8f643025318bcee899f5703daa0dc113b495edeea7924
4,300,4133887,262297,3871590,5213940852354a52b5f19dcc68e466f570b30419150f1176af07be0575fcf42e
4,400,5497550,385304,5112246,b1db0a2ca8ebc4440286fd39b4cd3d3f9161c82ec84c74304aeafd11aeea85cf
