building_seed,row_seed,K,context_rows,anomalies,normals,anomaly_rate,full_anomalies,full_normals,observed_building_count,raw_index_sha256,meter_composition_json
0,0,50,10000,5000,5000,0.5,52329,613510,50,19bbdb45ba6d675cff4266577c1c27dac4fce17e0e72b115c7a9932d334f15c4,"{""0"":{""anomalies"":2777,""anomaly_rate"":0.4736483029165956,""rows"":5863},""1"":{""anomalies"":1885,""anomaly_rate"":0.691743119266055,""rows"":2725},""2"":{""anomalies"":167,""anomaly_rate"":0.1698880976602238,""rows"":983},""3"":{""anomalies"":171,""anomaly_rate"":0.3986013986013986,""rows"":429}}"
0,0,100,10000,5000,5000,0.5,97474,1255461,100,4bb7b46e3c604927cc3b18b8740d79a7da2120f34491e0cb64ab786104712cc7,"{""0"":{""anomalies"":2694,""anomaly_rate"":0.46933797909407665,""rows"":5740},""1"":{""anomalies"":1525,""anomaly_rate"":0.620928338762215,""rows"":2456},""2"":{""anomalies"":180,""anomaly_rate"":0.2088167053364269,""rows"":862},""3"":{""anomalies"":601,""anomaly_rate"":0.638004246284501,""rows"":942}}"
0,0,200,10000,5000,5000,0.5,199020,2580257,200,a7aef205360c29e3e2b0ec73afad11454980a8eafdae74be2f43543b80184495,"{""0"":{""anomalies"":2593,""anomaly_rate"":0.4616343243724408,""rows"":5617},""1"":{""anomalies"":1657,""anomaly_rate"":0.6155274888558693,""rows"":2692},""2"":{""anomalies"":418,""anomaly_rate"":0.40425531914893614,""rows"":1034},""3"":{""anomalies"":332,""anomaly_rate"":0.5053272450532724,""rows"":657}}"
0,0,300,10000,5000,5000,0.5,313271,3885512,300,4e27addc2e6871a607b10c14a90488f3220a4220b94c9f0d8f9e3456e3b49e19,"{""0"":{""anomalies"":2442,""anomaly_rate"":0.4518874907475944,""rows"":5404},""1"":{""anomalies"":1740,""anomaly_rate"":0.6306632837984777,""rows"":2759},""2"":{""anomalies"":485,""anomaly_rate"":0.42284219703574544,""rows"":1147},""3"":{""anomalies"":333,""anomaly_rate"":0.4826086956521739,""rows"":690}}"
0,0,400,10000,5000,5000,0.5,414296,5302130,400,2b7c2abd0686cda7e920f43a561343fbeebc8d38c32f830cd51b1bb081fd356c,"{""0"":{""anomalies"":2465,""anomaly_rate"":0.4559748427672956,""rows"":5406},""1"":{""anomalies"":1673,""anomaly_rate"":0.6228592702903947,""rows"":2686},""2"":{""anomalies"":440,""anomaly_rate"":0.38698328935795956,""rows"":1137},""3"":{""anomalies"":422,""anomaly_rate"":0.5473411154345007,""rows"":771}}"
0,1,50,10000,5000,5000,0.5,52329,613510,50,8f2c0ff74d0962b48cbceb79fb7a88ca6a753ce7542a37720d3ab4a4c3ee9626,"{""0"":{""anomalies"":2768,""anomaly_rate"":0.4793073593073593,""rows"":5775},""1"":{""anomalies"":1889,""anomaly_rate"":0.6960206337509212,""rows"":2714},""2"":{""anomalies"":166,""anomaly_rate"":0.15543071161048688,""rows"":1068},""3"":{""anomalies"":177,""anomaly_rate"":0.39954853273137697,""rows"":443}}"
0,1,100,10000,5000,5000,0.5,97474,1255461,100,9073674b6d0beabccdbea4671f84d9d91de29ad2e74c8245f8d077c1602a9e2a,"{""0"":{""anomalies"":2685,""anomaly_rate"":0.46777003484320556,""rows"":5740},""1"":{""anomalies"":1538,""anomaly_rate"":0.6194120016109544,""rows"":2483},""2"":{""anomalies"":179,""anomaly_rate"":0.2146282973621103,""rows"":834},""3"":{""anomalies"":598,""anomaly_rate"":0.6341463414634146,""rows"":943}}"
0,1,200,10000,5000,5000,0.5,199020,2580257,200,621d1d9afb7c745c41d5c418095829ed28bc08f772248887db9a0fb15e75053c,"{""0"":{""anomalies"":2667,""anomaly_rate"":0.47413333333333335,""rows"":5625},""1"":{""anomalies"":1579,""anomaly_rate"":0.5916073435743724,""rows"":2669},""2"":{""anomalies"":430,""anomaly_rate"":0.4110898661567878,""rows"":1046},""3"":{""anomalies"":324,""anomaly_rate"":0.4909090909090909,""rows"":660}}"
0,1,300,10000,5000,5000,0.5,313271,3885512,300,6e90e9158ff893702d77fe27f785b68e6e0dd1c0c3e97d21a39edb266d711e8c,"{""0"":{""anomalies"":2505,""anomaly_rate"":0.45537175059080165,""rows"":5501},""1"":{""anomalies"":1732,""anomaly_rate"":0.6328096455973694,""rows"":2737},""2"":{""anomalies"":466,""anomaly_rate"":0.41532976827094475,""rows"":1122},""3"":{""anomalies"":297,""anomaly_rate"":0.4640625,""rows"":640}}"
0,1,400,10000,5000,5000,0.5,414296,5302130,400,5afd7ad731a683a40049332132ba88aa738c4ac1567dcf8d4633da1ee52683cd,"{""0"":{""anomalies"":2451,""anomaly_rate"":0.45439377085650723,""rows"":5394},""1"":{""anomalies"":1684,""anomaly_rate"":0.6157221206581353,""rows"":2735},""2"":{""anomalies"":411,""anomaly_rate"":0.3767186067827681,""rows"":1091},""3"":{""anomalies"":454,""anomaly_rate"":0.5820512820512821,""rows"":780}}"
