budget,building_seed,row_seed,support_id,context_rows,anomalies,normals,selected_buildings,observed_buildings,full_anomalies,full_normals,raw_index_sha256,reused
725,,0,full_725,50000,25000,25000,725,725,677077,9401868,c642862af885d4566a68325ff9a38cd113d7eff6217240a7e3a87a5d27c5094f,False
725,,1,full_725,50000,25000,25000,725,725,677077,9401868,437c2bb5da2d5415ec738b3bd63e4a28f96dc128da5515fab2bed45518e57864,False
400,0.0,0,building_seed0,50000,25000,25000,400,400,414296,5302130,bce6a6d10bb43e1b353d3291c9be1f80f62fa9bdc0e4a86309dde058e3aa51c5,False
400,0.0,1,building_seed0,50000,25000,25000,400,400,414296,5302130,11c02ccb9d8351ffc693e7913a96fbcee735e88117b0c0bc843bd591a3891877,False
400,1.0,0,building_seed1,50000,25000,25000,400,400,389999,5268123,c6dc5931fb9a0d434277e17b5240cf1476d007b507cac4ebb8a3fe6b2b507991,False
400,1.0,1,building_seed1,50000,25000,25000,400,400,389999,5268123,3042a3e0efbfe2bcf890f0728a75e7ec91abf17ca883f82702b1ffeb3a6311ab,False
400,2.0,0,building_seed2,50000,25000,25000,400,400,385381,5308677,22108dd1f0a8c4c745a238d206fc63a3abc85620e2eba281e05cdabe143e21b7,False
400,2.0,1,building_seed2,50000,25000,25000,400,400,385381,5308677,cbc12ae34757d2ac131adff7d301c09dfcdb649df45905e44fb1e3d45f13f0f0,False
200,0.0,0,building_seed0,50000,25000,25000,200,200,199020,2580257,aa0d71192c8244cbe95c1500616d20fc4fe20049bacf20c6d9ca390cd1ae1801,False
200,0.0,1,building_seed0,50000,25000,25000,200,200,199020,2580257,ef3969aca5ad3498df93a4cf337a1154d7db337a7dfda074293226cf79f8e716,False
200,1.0,0,building_seed1,50000,25000,25000,200,200,194498,2619496,a7cd579e672dcd78de54304cd54201496deea963eab4e91e0f046eebb3650b53,False
200,1.0,1,building_seed1,50000,25000,25000,200,200,194498,2619496,43291d4021af9fa9b4b8dee8f134ddab7d1bcb0cf1854d1bdb7284ac739b7ee3,False
200,2.0,0,building_seed2,50000,25000,25000,200,200,212589,2728412,ff6d8bf501a5d8d0654e690b5ae95a80fbc9d72d71a9cf3ad470bdaa0b084495,False
200,2.0,1,building_seed2,50000,25000,25000,200,200,212589,2728412,909d879dfde6a178f01ce75530e5ccd40b66acd7d93e73563e2bf13207ffc1d6,False
100,0.0,0,building_seed0,50000,25000,25000,100,100,97474,1255461,255f062042f66f0e55c3ba0e2381860c80b774a4dfc9689ebb3273a910be763f,False
100,0.0,1,building_seed0,50000,25000,25000,100,100,97474,1255461,204ada93c76010feff70faf8256cc80fb0b0a0f0d879c956b151d8c50c53d8d4,False
100,1.0,0,building_seed1,50000,25000,25000,100,100,88436,1259831,f228cc9ab4809d3761d302e25eccab535d7039e6467afbeeefbeb9c42c3c0082,False
100,1.0,1,building_seed1,50000,25000,25000,100,100,88436,1259831,9df05447c8bac7d434416c60e308223ac988a9f596b63b67c31a6b40dd8eb6cf,False
100,2.0,0,building_seed2,50000,25000,25000,100,100,106229,1446547,4e497f2af7ce9cfab7ae2085bb7742602e376c62cc721629eb6d82b23bc23bcd,False
100,2.0,1,building_seed2,50000,25000,25000,100,100,106229,1446547,c6bfa1406be94c3c16b43672ca86bf557a70e4047ed8ac55800edc9f39044e53,False
50,0.0,0,building_seed0,50000,25000,25000,50,50,52329,613510,02e732bf1b7d4fa80ce561dabe72afbd44e73197982bfcc2ddcc975ce2ac186e,False
50,0.0,1,building_seed0,50000,25000,25000,50,50,52329,613510,ac7f9c0aa2da4e408c994faffc64f7a89ab2f24c6164fd8d9442d2e53a594e4f,False
50,1.0,0,building_seed1,50000,25000,25000,50,50,38364,647863,fcc455794d9e3990f15c11ad9831d3d902b8fc338531ca9528ffc0b096df5bbf,False
50,1.0,1,building_seed1,50000,25000,25000,50,50,38364,647863,f959c97517d60bf2f314aa196c26adca0d1db03a1ada49683528cf6798d7de29,False
